1787899803.6,-0.45,10.61,145.1,0.64,0.73,0.72,1.42,0.36,0.80,1.58,0.50,0.40,0.30,0.35,0.41,0.31,0.34,0.29,0.35
1787899804.1,-0.45,10.61,149.7,0.63,0.73,0.72,1.42,0.35,0.79,1.58,0.51,0.40,0.27,0.34,0.39,0.31,0.33,0.29,0.36
1787899804.6,-0.45,10.61,149.6,0.65,0.74,0.73,1.43,0.36,0.81,1.57,0.52,0.37,0.28,0.33,0.41,0.30,0.34,0.28,0.35
1787899805.2,-0.45,10.61,145.0,0.66,0.73,0.72,1.43,0.37,0.81,1.58,0.53,0.39,0.29,0.32,0.42,0.33,0.32,0.27,0.38
1787899805.7,-0.45,10.61,149.0,0.63,0.72,0.73,1.41,0.36,0.81,1.59,0.49,0.39,0.30,0.33,0.39,0.33,0.33,0.26,0.35
1787899806.1,-0.45,10.61,148.2,0.65,0.73,0.74,1.43,0.36,0.80,1.58,0.51,0.39,0.31,0.34,0.39,0.29,0.34,0.29,0.36
1787899808.3,0.07,10.66,187.0,0.87,0.38,0.44,0.97,2.73,0.34,0.23,0.16,0.12,0.15,0.28,0.40,0.40,0.38,0.56,0.93
1787899811.6,0.07,10.66,144.3,0.57,0.91,0.84,0.40,0.50,1.18,1.45,0.30,0.22,0.14,0.13,0.14,0.32,0.38,0.43,0.42
1787899812.0,-0.08,10.77,139.3,0.60,0.91,0.85,0.40,0.47,1.18,1.45,0.30,0.20,0.16,0.12,0.15,0.32,0.39,0.44,0.40
1787899812.6,-0.11,10.80,141.3,0.48,0.84,0.79,0.30,0.43,0.75,3.00,0.43,0.32,0.22,0.19,0.27,0.37,0.32,0.38,0.35
1787899814.5,-0.11,10.80,151.2,0.80,0.75,1.40,0.40,0.50,2.22,0.75,0.38,0.25,0.18,0.20,0.32,0.36,0.37,0.31,0.45
1787899814.9,-0.27,10.89,149.3,0.80,0.76,1.39,0.39,0.49,2.20,0.77,0.37,0.24,0.20,0.22,0.33,0.38,0.36,0.33,0.44
1787899815.4,-0.30,10.91,151.4,0.69,0.73,0.73,1.44,0.42,1.22,1.15,0.47,0.34,0.26,0.30,0.38,0.31,0.35,0.28,0.35
1787899816.0,-0.30,10.91,153.8,0.68,0.73,0.76,1.44,0.41,1.22,1.16,0.50,0.33,0.26,0.29,0.37,0.29,0.35,0.28,0.36
