1787896301.1,-0.20,2.72,276.8,3.00,0.75,0.41,0.37,0.34,0.36,0.48,1.11,1.16,0.38,0.19,0.15,0.13,0.20,0.23,0.61,tick=82045 goal=0
1787896301.5,-0.18,2.58,272.6,3.00,0.72,0.41,0.34,0.36,0.34,0.50,1.14,1.22,0.37,0.19,0.11,0.17,0.19,0.22,0.58,tick=82096 goal=0
1787896301.7,-0.17,2.52,274.8,3.00,0.71,0.39,0.34,0.34,0.34,0.51,0.92,1.26,0.38,0.18,0.15,0.19,0.18,0.27,0.56,tick=82116 goal=0
1787896301.9,-0.17,2.46,276.8,3.00,0.68,0.40,0.33,0.35,0.37,0.53,0.94,1.26,0.32,0.15,0.15,0.19,0.18,0.27,0.54,tick=82137 goal=0
1787896302.1,-0.16,2.40,276.7,3.00,0.67,0.39,0.32,0.34,0.34,0.53,0.95,1.28,0.34,0.17,0.18,0.20,0.17,0.27,0.55,tick=82158 goal=0
1787896302.4,-0.15,2.34,272.4,3.00,0.65,0.39,0.30,0.34,0.35,0.54,0.95,1.32,0.34,0.20,0.22,0.17,0.17,0.27,0.51,tick=82179 goal=0
1787896302.6,-0.15,2.25,276.0,2.99,0.63,0.38,0.30,0.32,0.36,0.50,0.96,1.35,0.33,0.19,0.22,0.17,0.18,0.28,0.53,tick=82210 goal=0
1787896302.8,-0.14,2.19,273.5,3.00,0.66,0.40,0.32,0.32,0.37,0.47,0.92,1.34,0.36,0.22,0.20,0.16,0.21,0.25,0.48,tick=82231 goal=0
1787896303.0,-0.13,2.14,273.9,2.99,0.66,0.42,0.32,0.30,0.36,0.46,0.95,1.37,0.38,0.22,0.19,0.16,0.21,0.34,0.47,tick=82252 goal=0
1787896303.3,-0.13,2.06,275.5,3.00,0.67,0.47,0.30,0.30,0.38,0.45,0.94,1.38,0.38,0.24,0.19,0.18,0.19,0.37,0.62,tick=82278 goal=0
1787896303.5,-0.12,2.00,277.7,3.00,0.76,0.47,0.29,0.29,0.37,0.43,0.96,1.39,0.38,0.29,0.18,0.18,0.22,0.35,0.59,tick=82299 goal=0
1787896303.7,-0.12,1.94,273.6,3.00,0.75,0.47,0.30,0.30,0.36,0.46,0.96,1.44,0.31,0.29,0.17,0.18,0.22,0.36,0.60,tick=82320 goal=0
