1787895916.3,0.33,-0.27,75.6,0.79,1.94,0.43,0.30,0.25,0.31,0.28,0.44,1.39,1.82,0.47,0.31,0.28,0.24,0.27,0.47,tick=43547 goal=0,0,0,
1787895916.9,0.34,-0.21,76.2,1.04,1.94,0.41,0.29,0.25,0.31,0.27,0.47,1.39,1.51,0.45,0.31,0.26,0.23,0.28,0.47,tick=43605 goal=0,0,0,
1787895917.5,0.35,-0.15,81.0,1.10,1.27,0.39,0.30,0.23,0.31,0.31,0.49,1.84,1.07,0.38,0.31,0.24,0.23,0.31,0.43,tick=43664 goal=0,0,0,
1787895918.1,0.36,-0.09,87.8,1.81,1.06,0.37,0.29,0.23,0.32,0.32,0.53,1.84,0.93,0.36,0.29,0.23,0.24,0.29,0.41,tick=43722 goal=0,0,0,
1787895918.7,0.36,-0.03,90.6,2.56,0.77,0.35,0.28,0.22,0.32,0.35,0.75,1.88,0.56,0.38,0.24,0.20,0.26,0.34,0.47,tick=43783 goal=0,0,0,
1787895919.3,0.35,0.04,96.1,2.56,0.68,0.34,0.27,0.23,0.36,0.44,0.83,1.91,0.51,0.33,0.24,0.23,0.28,0.40,0.62,tick=43842 goal=0,0,0,
1787895919.9,0.34,0.11,99.4,1.78,0.54,0.31,0.26,0.22,0.35,0.49,1.50,1.63,0.44,0.31,0.23,0.24,0.27,0.37,0.94,tick=43900 goal=0,0,0,
1787895920.7,0.31,0.18,108.7,1.02,0.48,0.29,0.26,0.24,0.36,0.56,1.93,1.01,0.41,0.26,0.24,0.28,0.36,0.50,1.72,tick=43989 goal=0,0,0,
1787895921.3,0.29,0.24,111.1,0.93,0.45,0.28,0.24,0.23,0.38,0.60,1.99,0.66,0.42,0.26,0.27,0.25,0.36,0.52,2.49,tick=44048 goal=0,0,0,
1787895921.9,0.27,0.30,114.6,0.67,0.42,0.27,0.24,0.22,0.37,0.64,1.98,0.66,0.41,0.27,0.26,0.30,0.33,0.53,2.48,tick=44106 goal=0,0,0,
1787895922.5,0.24,0.35,119.2,0.63,0.41,0.24,0.23,0.23,0.39,0.66,1.96,0.64,0.39,0.27,0.28,0.33,0.32,0.80,2.45,tick=44165 goal=0,0,0,
1787895923.2,0.21,0.42,115.0,0.58,0.36,0.22,0.22,0.21,0.39,0.67,2.00,0.63,0.36,0.28,0.28,0.34,0.33,0.82,2.42,tick=44223 goal=0,0,0,
1787895923.9,0.17,0.48,117.3,0.54,0.36,0.20,0.20,0.22,0.39,0.70,2.00,0.61,0.36,0.30,0.31,0.33,0.46,0.83,2.41,tick=44292 goal=0,0,0,
1787895924.5,0.15,0.54,115.8,0.54,0.34,0.17,0.20,0.20,0.26,0.67,2.03,0.65,0.36,0.30,0.31,0.32,0.44,0.83,2.40,tick=44360 goal=0,0,0,
1787895925.1,0.12,0.61,114.6,0.51,0.32,0.17,0.18,0.19,0.28,0.66,2.06,0.64,0.40,0.34,0.34,0.31,0.43,0.83,2.41,tick=44426 goal=0,0,0,
1787895925.7,0.09,0.66,117.4,0.48,0.32,0.17,0.17,0.21,0.25,0.69,2.14,0.64,0.40,0.35,0.35,0.31,0.44,0.91,2.37,tick=44485 goal=0,0,0,
1787895926.3,0.06,0.71,116.8,0.44,0.27,0.12,0.14,0.20,0.24,0.70,2.16,0.66,0.41,0.36,0.36,0.33,0.47,1.15,1.57,tick=44543 goal=0,0,0,
1787895926.9,0.06,0.71,132.7,0.30,0.27,0.15,0.15,0.22,0.28,1.08,1.42,0.62,0.41,0.34,0.31,0.43,0.63,1.58,0.78,tick=44607 goal=0,0,0,
1787895927.5,0.06,0.71,146.7,0.26,0.12,0.14,0.19,0.21,0.51,2.11,0.70,0.41,0.36,0.37,0.33,0.44,0.94,2.34,0.44,tick=44670 goal=0,0,0,
1787895928.2,0.06,0.71,157.5,0.20,0.12,0.14,0.20,0.29,2.13,1.07,0.50,0.38,0.37,0.33,0.42,0.74,2.30,0.51,0.44,tick=44734 goal=0,0,0,
1787895928.9,0.06,0.71,177.3,0.14,0.14,0.20,0.27,0.79,1.88,0.65,0.40,0.36,0.33,0.41,0.50,1.51,0.96,0.30,0.29,tick=44797 goal=0,0,0,
