01:50:43 === goto east start ===
01:52:50 pos=(1.33,1.19) h=88 tick=701959 goal=0 here=0 d5=0.697 f=0.20
01:52:53 pos=(1.34,1.18) h=217 tick=702208 goal=0 here=0 d5=0.699 f=0.33
01:52:53 pos=(1.30,1.16) d5=0.72
01:52:53 pos=(1.30,1.15) h=222 tick=702248 goal=0 here=0 d5=0.696 f=0.32
01:52:53 pos=(1.28,1.14) h=221 tick=702269 goal=0 here=0 d5=0.708 f=0.29
01:52:53 pos=(1.28,1.13) h=224 tick=702275 goal=0 here=0 d5=0.688 f=0.29
01:52:53 pos=(1.28,1.14) h=224 tick=702281 goal=0 here=0 d5=0.704 f=0.28
01:52:53 pos=(1.28,1.14) h=224 tick=702289 goal=0 here=0 d5=0.702 f=0.28
01:52:53 pos=(1.28,1.14) h=219 tick=702295 goal=0 here=0 d5=0.699 f=0.28
01:52:54 pos=(1.28,1.14) h=225 tick=702301 goal=0 here=0 d5=0.697 f=0.29
01:52:54 pos=(1.28,1.14) h=221 tick=702307 goal=0 here=0 d5=0.715 f=0.29
01:52:54 pos=(1.28,1.14) h=219 tick=702313 goal=0 here=0 d5=0.695 f=0.28
01:52:55 pos=(1.28,1.14) h=257 tick=702418 goal=0 here=0 d5=0.694 f=0.23
01:52:55 pos=(1.28,1.14) h=244 tick=702467 goal=0 here=0 d5=0.696 f=0.25
01:52:55 pos=(1.28,1.14) d5=0.69
01:52:56 pos=(1.28,1.14) h=230 tick=702528 goal=0 here=0 d5=0.685 f=0.30
01:52:58 pos=(1.28,1.14) h=149 tick=702704 goal=0 here=0 d5=0.687 f=0.30
01:52:58 pos=(1.25,1.15) d5=0.68
01:53:00 pos=(1.25,1.15) h=228 tick=702907 goal=0 here=0 d5=0.691 f=0.29
01:53:01 pos=(1.25,1.16) h=311 tick=703086 goal=0 here=0 d5=0.668 f=0.25
01:53:01 pos=(1.25,1.16) d5=0.67
01:53:03 pos=(1.25,1.16) h=229 tick=703270 goal=0 here=0 d5=0.672 f=0.30
01:53:03 pos=(1.25,1.16) h=226 tick=703275 goal=0 here=0 d5=0.665 f=0.29
01:53:03 pos=(1.25,1.16) h=225 tick=703281 goal=0 here=0 d5=0.68 f=0.30
01:53:03 pos=(1.25,1.15) d5=0.68
01:53:05 pos=(1.24,1.15) h=330 tick=703494 goal=0 here=0 d5=0.673 f=0.36
01:53:06 pos=(1.35,1.11) d5=0.69
01:53:09 pos=(1.35,1.10) h=132 tick=703855 goal=0 here=0 d5=0.686 f=0.28
01:53:09 pos=(1.35,1.10) d5=0.68
01:53:11 pos=(1.36,1.10) h=215 tick=704036 goal=0 here=0 d5=0.681 f=0.28
01:53:12 pos=(1.35,1.10) h=158 tick=704179 goal=0 here=0 d5=0.698 f=0.38
01:53:13 pos=(1.26,1.15) d5=0.68
01:53:15 pos=(1.26,1.16) h=40 tick=704458 goal=0 here=0 d5=0.663 f=0.29
01:53:15 pos=(1.26,1.16) d5=0.66
01:53:15 pos=(1.26,1.16) h=48 tick=704464 goal=0 here=0 d5=0.676 f=0.28
01:53:18 pos=(1.26,1.15) h=236 tick=704773 goal=0 here=0 d5=0.684 f=0.28
01:53:18 pos=(1.26,1.15) d5=0.67
01:53:18 pos=(1.26,1.15) h=236 tick=704779 goal=0 here=0 d5=0.673 f=0.27
01:53:18 pos=(1.26,1.15) h=237 tick=704790 goal=0 here=0 d5=0.663 f=0.28
01:53:18 pos=(1.26,1.15) h=236 tick=704796 goal=0 here=0 d5=0.689 f=0.27
01:53:19 pos=(1.26,1.15) h=235 tick=704802 goal=0 here=0 d5=0.679 f=0.28
01:53:19 pos=(1.26,1.15) h=236 tick=704810 goal=0 here=0 d5=0.677 f=0.31
01:53:19 pos=(1.26,1.14) h=237 tick=704825 goal=0 here=0 d5=0.665 f=0.28
01:53:19 pos=(1.26,1.14) h=235 tick=704831 goal=0 here=0 d5=0.678 f=0.28
01:53:19 pos=(1.26,1.14) h=237 tick=704837 goal=0 here=0 d5=0.671 f=0.30
01:53:21 pos=(1.25,1.14) h=298 tick=705001 goal=0 here=0 d5=0.673 f=0.25
01:53:21 pos=(1.25,1.14) d5=0.67
01:53:22 pos=(1.25,1.13) h=243 tick=705135 goal=0 here=0 d5=0.674 f=0.27
01:53:24 pos=(1.24,1.13) h=115 tick=705386 goal=0 here=0 d5=0.681 f=0.24
01:53:24 pos=(1.24,1.13) d5=0.68
01:53:27 pos=(1.25,1.13) h=220 tick=705603 goal=0 here=0 d5=0.673 f=0.29
01:53:27 pos=(1.25,1.13) d5=0.67
01:53:27 pos=(1.25,1.13) h=219 tick=705609 goal=0 here=0 d5=0.669 f=0.29
01:53:27 pos=(1.25,1.13) h=222 tick=705617 goal=0 here=0 d5=0.684 f=0.30
01:53:27 pos=(1.23,1.11) h=223 tick=705638 goal=0 here=0 d5=0.67 f=0.27
01:53:27 pos=(1.23,1.11) h=218 tick=705644 goal=0 here=0 d5=0.68 f=0.28
01:53:27 pos=(1.23,1.11) h=220 tick=705653 goal=0 here=0 d5=0.674 f=0.30
01:53:27 pos=(1.23,1.11) h=220 tick=705659 goal=0 here=0 d5=0.683 f=0.29
01:53:27 pos=(1.23,1.11) h=221 tick=705665 goal=0 here=0 d5=0.672 f=0.27
01:53:27 pos=(1.23,1.11) h=214 tick=705671 goal=0 here=0 d5=0.674 f=0.28
01:53:27 pos=(1.23,1.11) h=220 tick=705677 goal=0 here=0 d5=0.681 f=0.29
01:53:27 pos=(1.23,1.11) h=222 tick=705683 goal=0 here=0 d5=0.672 f=0.26
01:53:27 pos=(1.23,1.11) h=217 tick=705689 goal=0 here=0 d5=0.685 f=0.27
01:53:27 pos=(1.23,1.12) h=218 tick=705695 goal=0 here=0 d5=0.677 f=0.27
01:53:28 pos=(1.23,1.11) h=220 tick=705701 goal=0 here=0 d5=0.677 f=0.29
01:53:28 pos=(1.23,1.11) h=217 tick=705707 goal=0 here=0 d5=0.668 f=0.28
01:53:28 pos=(1.23,1.11) h=221 tick=705716 goal=0 here=0 d5=0.681 f=0.26
01:53:28 pos=(1.23,1.11) h=220 tick=705724 goal=0 here=0 d5=0.672 f=0.29
01:53:28 pos=(1.23,1.11) h=221 tick=705729 goal=0 here=0 d5=0.664 f=0.29
01:53:30 pos=(1.23,1.12) h=301 tick=705905 goal=0 here=0 d5=0.676 f=0.24
01:53:30 pos=(1.23,1.12) d5=0.66
01:53:32 pos=(1.22,1.12) h=46 tick=706120 goal=0 here=0 d5=0.676 f=0.27
01:53:32 pos=(1.22,1.12) d5=0.65
01:53:34 pos=(1.23,1.12) h=327 tick=706300 goal=0 here=0 d5=0.667 f=0.27
01:53:35 pos=(1.23,1.12) h=247 tick=706463 goal=0 here=0 d5=0.674 f=0.24
01:53:35 pos=(1.23,1.12) d5=0.68
01:53:36 pos=(1.23,1.12) h=228 tick=706529 goal=0 here=0 d5=0.66 f=0.27
01:53:36 pos=(1.23,1.12) h=228 tick=706535 goal=0 here=0 d5=0.673 f=0.28
01:53:38 pos=(1.22,1.12) h=127 tick=706761 goal=0 here=0 d5=0.68 f=0.27
01:53:38 pos=(1.22,1.12) d5=0.68
01:53:40 pos=(1.23,1.12) h=47 tick=706931 goal=0 here=0 d5=0.687 f=0.26
01:53:43 pos=(1.23,1.12) h=236 tick=707249 goal=0 here=0 d5=0.672 f=0.27
01:53:43 pos=(1.23,1.12) d5=0.68
01:53:45 pos=(1.23,1.12) h=340 tick=707472 goal=0 here=0 d5=0.667 f=0.36
01:53:46 pos=(1.35,1.09) d5=0.70
01:53:49 pos=(1.35,1.08) h=128 tick=707808 goal=0 here=0 d5=0.688 f=0.27
01:53:49 pos=(1.35,1.08) d5=0.68
01:53:49 pos=(1.35,1.08) h=145 tick=707875 goal=0 here=0 d5=0.696 f=0.32
01:53:52 pos=(1.26,1.15) h=231 tick=708132 goal=0 here=0 d5=0.671 f=0.29
01:53:52 pos=(1.26,1.15) d5=0.67
01:53:54 pos=(1.26,1.15) h=126 tick=708338 goal=0 here=0 d5=0.675 f=0.24
01:53:54 pos=(1.26,1.15) d5=0.68
01:53:55 pos=(1.26,1.15) h=142 tick=708408 goal=0 here=0 d5=0.679 f=0.28
01:53:56 pos=(1.26,1.15) h=223 tick=708576 goal=0 here=0 d5=0.67 f=0.29
01:53:56 pos=(1.26,1.15) d5=0.69
01:53:56 pos=(1.26,1.15) h=223 tick=708582 goal=0 here=0 d5=0.662 f=0.30
01:53:56 pos=(1.26,1.15) h=222 tick=708588 goal=0 here=0 d5=0.686 f=0.28
01:53:56 pos=(1.27,1.15) h=224 tick=708594 goal=0 here=0 d5=0.664 f=0.30
01:53:57 pos=(1.26,1.14) h=224 tick=708610 goal=0 here=0 d5=0.677 f=0.30
01:53:57 pos=(1.26,1.14) h=223  d5=0.669 f=0.29
01:53:57 pos=(1.26,1.14) h=225 tick=708625 goal=0 here=0 d5=0.67 f=0.28
01:53:57 pos=(1.26,1.14) h=220 tick=708634 goal=0 here=0 d5=0.669 f=0.29
01:53:57 pos=(1.26,1.14) h=220 tick=708640 goal=0 here=0 d5=0.673 f=0.29
01:53:57 pos=(1.26,1.14) h=222 tick=708649 goal=0 here=0 d5=0.675 f=0.30
01:53:57 pos=(1.25,1.13) h=222 tick=708663 goal=0 here=0 d5=0.67 f=0.29
01:53:59 pos=(1.24,1.14) h=327 tick=708885 goal=0 here=0 d5=0.679 f=0.32
01:53:59 pos=(1.25,1.14) d5=0.68
01:54:01 pos=(1.26,1.13) h=243 tick=709066 goal=0 here=0 d5=0.665 f=0.26
01:54:02 pos=(1.26,1.13) h=224 tick=709138 goal=0 here=0 d5=0.668 f=0.27
01:54:02 pos=(1.26,1.13) d5=0.67
01:54:02 pos=(1.26,1.13) h=226 tick=709147 goal=0 here=0 d5=0.688 f=0.26
01:54:04 pos=(1.25,1.12) h=145 tick=709320 goal=0 here=0 d5=0.695 f=0.32
01:54:06 pos=(0.95,1.23) h=172 tick=709524 goal=0 here=0 d5=0.618 f=0.48
01:54:08 pos=(0.56,1.23) h=190 tick=709729 goal=0 here=0 d5=0.57 f=0.47
01:54:08 pos=(0.47,1.21) d5=0.57
01:54:11 pos=(0.47,1.22) h=335 tick=710063 goal=0 here=0 d5=0.575 f=0.40
01:54:13 pos=(0.66,1.04) d5=0.60
01:54:14 pos=(0.66,1.04) h=6 tick=710369 goal=0 here=0 d5=0.603 f=0.65
01:54:16 pos=(1.04,1.13) h=15 tick=710570 goal=0 here=0 d5=0.643 f=0.43
01:54:18 pos=(1.31,1.21) d5=0.69
01:54:19 pos=(1.31,1.21) h=78 tick=710893 goal=0 here=0 d5=0.687 f=0.21
01:54:22 pos=(1.32,1.20) h=229 tick=711176 goal=0 here=0 d5=0.686 f=0.34
01:54:23 pos=(1.28,1.16) d5=0.66
01:54:23 pos=(1.28,1.16) h=230 tick=711219 goal=0 here=0 d5=0.675 f=0.29
01:54:23 pos=(1.28,1.16) h=228 tick=711225 goal=0 here=0 d5=0.671 f=0.30
01:54:23 pos=(1.28,1.16) h=233 tick=711231 goal=0 here=0 d5=0.682 f=0.31
01:54:23 pos=(1.26,1.14) h=232 tick=711251 goal=0 here=0 d5=0.684 f=0.29
01:54:23 pos=(1.26,1.14) h=232 tick=711257 goal=0 here=0 d5=0.691 f=0.28
01:54:23 pos=(1.26,1.14) h=231 tick=711263 goal=0 here=0 d5=0.678 f=0.28
01:54:23 pos=(1.26,1.14) h=228 tick=711269 goal=0 here=0 d5=0.676 f=0.28
01:54:23 pos=(1.26,1.14) h=229 tick=711275 goal=0 here=0 d5=0.689 f=0.28
01:54:23 pos=(1.26,1.14) h=229 tick=711281 goal=0 here=0 d5=0.684 f=0.30
01:54:23 pos=(1.26,1.14) h=232 tick=711287 goal=0 here=0 d5=0.674 f=0.30
01:54:24 pos=(1.26,1.14) h=226 tick=711301 goal=0 here=0 d5=0.679 f=0.30
01:54:24 pos=(1.25,1.13) h=232  d5=0.671 f=0.27
01:54:24 pos=(1.25,1.13) h=232 tick=711320 goal=0 here=0 d5=0.68 f=0.28
01:54:24 pos=(1.25,1.13) h=231 tick=711326 goal=0 here=0 d5=0.658 f=0.27
01:54:26 pos=(1.24,1.13) h=131 tick=711524 goal=0 here=0 d5=0.671 f=0.26
01:54:26 pos=(1.24,1.13) d5=0.67
01:54:28 pos=(1.25,1.13) h=210 tick=711700 goal=0 here=0 d5=0.665 f=1.21
01:54:30 pos=(0.78,0.85) h=206 tick=711909 goal=0 here=0 d5=0.626 f=0.54
01:54:31 pos=(0.54,0.73) d5=0.60
01:54:34 pos=(0.53,0.73) h=18  d5=0.611 f=0.68
