R,0.431,-0.00,True
P,0,0.435,0.00,True
P,60,0.42,0.30,False
P,-60,0.427,0.00,True
R,0.44,0.00,True
P,0,0.442,0.00,True
P,60,0.381,0.29,False
P,-60,0.372,-0.00,True
R,0.364,0.00,True
P,0,0.37,-0.00,True
P,60,0.37,0.30,False
P,-60,0.364,0.00,True
R,0.387,0.00,True
P,0,0.389,0.00,True
P,60,0.352,0.29,False
P,-60,0.355,-0.00,True
R,0.358,-0.00,True
P,0,0.337,0.00,True
P,60,0.336,0.29,False
P,-60,0.335,0.00,True
R,0.337,0.00,True
P,0,0.353,-0.00,True
P,60,0.317,0.29,False
P,-60,0.317,-0.00,True
R,0.308,0.00,True
P,0,0.316,0.00,True
P,60,0.311,0.24,True
P,-60,0.311,-0.00,True
P,0,0.302,-0.00,True
P,60,0.285,0.05,True
P,-60,0.276,-0.00,True
P,0,0.302,0.29,False
P,60,0.293,-0.00,True
P,-60,0.302,0.27,True
R,0.315,0.00,True
P,0,0.308,0.00,True
P,60,0.334,0.29,False
P,-60,0.358,0.00,True
R,0.345,0.00,True
P,0,0.342,0.00,True
P,60,0.354,0.29,False
P,-60,0.343,0.00,True
R,0.349,0.00,True
P,0,0.35,0.01,True
P,60,0.39,0.29,False
P,-60,0.404,0.00,True
R,0.415,0.05,True
P,0,0.418,0.00,True
P,60,0.452,0.29,False
P,-60,0.464,0.00,True
R,0.515,0.31,False
P,0,0.561,0.29,False
P,60,0.591,0.29,False
P,-60,0.643,0.10,True
R,0.642,0.00,True
P,0,0.639,0.00,True
P,60,0.702,0.29,False
P,-60,0.709,0.02,True
R,0.734,0.25,True
P,0,0.723,0.01,True
P,60,0.78,0.29,False
P,-60,0.767,0.00,True
R,0.787,0.13,True
P,0,0.79,0.01,True
P,60,0.83,0.29,False
P,-60,0.796,0.06,True
R,0.744,0.21,True
P,0,0.749,0.03,True
P,60,0.773,0.26,True
P,-60,0.757,0.00,True
P,0,0.757,0.03,True
P,60,0.776,0.29,False
P,-60,0.814,0.00,True
R,0.82,0.00,True
P,0,0.817,-0.00,True
P,60,0.814,0.12,True
P,-60,0.854,-0.00,True
P,0,0.796,0.29,False
P,60,0.797,0.12,True
P,-60,0.761,0.23,True
R,0.765,0.00,True
P,0,0.757,0.00,True
P,60,0.726,0.29,False
P,-60,0.728,-0.00,True
R,0.689,0.31,False
R,0.689,0.02,True
P,0,0.682,0.01,True
P,60,0.644,0.29,False
P,-60,0.643,0.00,True
R,0.657,0.01,True
P,0,0.655,0.01,True
P,60,0.654,0.29,False
P,-60,0.688,0.02,True
R,0.699,0.31,False
P,0,0.672,0.29,False
P,60,0.673,0.29,False
P,-60,0.667,0.29,False
