ALERT 64.8 d9=tick=53201 goal=0 d0=0 d7=1
ALERT 65.3 d9=tick=53243 goal=0 d0=0 d7=1
ALERT 65.4 d9=tick=53257 goal=0 d0=0 d7=1
ALERT 65.8 d9=tick=53298 goal=0 d0=0 d7=1
T 65.8 pose=(0.00,0.00,None) f=0.39 r=0.25 l=3.00
ALERT 66.4 d9=tick=53357 goal=0 d0=0 d7=1
ALERT 66.6 d9=tick=53374 goal=0 d0=0 d7=1
ALERT 67.0 d9=tick=53415 goal=0 d0=0 d7=1
ALERT 67.4 d9=tick=53459 goal=0 d0=0 d7=1
T 67.4 pose=(0.00,0.00,None) f=0.35 r=0.98 l=3.00
ALERT 67.5 d9=tick=53471 goal=0 d0=0 d7=1
ALERT 67.7 d9=tick=53485 goal=0 d0=0 d7=1
ALERT 68.1 d9=tick=53527 goal=0 d0=0 d7=1
ALERT 68.3 d9=tick=53543 goal=0 d0=0 d7=1
