# calib spin dh=48.29999999999998 sign=1
S,115121,1.6,-64554,0,0.486,0,0.31,0.28,0.37,0.83,-1.00,0.84,0.37,0.72,0.74,0.77,1.14,0.62,0.77,0.60,0.42,0.32
S,115221,331.3,-64455,0,0.486,0,0.37,0.26,0.33,0.31,0.54,0.79,0.80,0.97,0.42,0.71,0.76,1.00,0.38,0.75,0.78,0.53
S,115324,291.7,-64347,0,0.481,0,0.72,0.42,0.34,0.30,0.30,0.36,0.58,0.81,0.82,0.36,0.72,0.69,0.77,1.04,0.58,0.72
S,115424,281.4,-64250,0,0.502,0,0.72,0.54,0.36,0.27,0.32,0.31,0.57,0.84,0.83,0.36,0.52,0.71,0.78,0.99,0.45,0.68
S,115527,285.2,-64136,0,0.482,0,0.67,0.51,0.33,0.29,0.26,0.33,0.43,0.92,0.88,0.43,0.74,0.73,0.79,0.28,0.51,0.62
S,115630,284.2,-64026,0,0.509,0,0.62,0.45,-1.00,-1.00,0.25,0.35,0.40,0.99,0.94,0.47,0.82,0.77,0.76,0.28,0.50,0.57
S,115732,281.6,-63958,0,0.504,0,0.59,0.42,0.28,0.28,0.26,0.32,0.39,1.00,0.97,0.53,0.86,0.80,0.79,0.29,0.50,0.55
S,115834,281.9,-63884,0,0.501,0,0.54,0.39,0.26,0.26,0.26,0.27,0.40,1.05,1.01,0.56,0.87,0.80,0.27,0.32,0.47,0.52
S,115935,287.8,-63816,0,0.516,0,0.52,0.36,0.27,0.26,0.26,0.27,0.43,1.08,1.04,0.60,0.90,0.80,0.25,0.36,0.47,0.48
S,116038,281.2,-63741,0,0.522,0,0.48,0.34,0.31,0.20,0.26,0.28,0.45,1.13,1.09,0.65,0.90,0.82,0.27,0.39,0.49,0.44
S,116142,276.7,-63668,0,0.570,0,0.43,0.32,0.30,0.20,0.24,0.28,0.31,0.65,1.15,0.65,0.97,0.87,0.26,0.39,0.40,0.42
S,116243,243.2,-63563,0,0.571,0,0.47,0.42,0.44,0.31,0.28,0.20,0.25,0.28,0.47,1.15,1.12,0.69,0.89,0.29,0.30,0.39
S,116343,241.9,-63489,0,0.580,0,0.45,0.40,0.41,0.29,0.31,0.22,0.24,0.30,0.50,1.17,1.15,0.70,0.84,0.25,0.29,0.37
S,116445,239.1,-63421,0,0.579,0,0.40,0.35,0.38,0.35,0.28,0.26,0.26,0.35,0.55,1.20,1.21,0.76,0.84,0.24,0.29,0.32
S,116547,241.0,-63353,0,0.585,0,0.38,0.30,0.35,0.39,0.27,0.30,0.28,0.39,0.58,1.25,1.23,0.90,0.25,0.23,0.28,0.29
S,116649,271.8,-63423,0,0.587,0,0.31,0.36,0.35,0.28,0.29,0.29,0.40,0.57,1.18,0.72,0.97,0.25,0.25,-1.00,0.31,0.33
S,116751,286.9,-63437,0,0.581,0,0.36,0.37,0.26,0.29,0.27,0.38,0.60,1.22,0.71,0.95,0.25,0.26,0.28,0.30,0.33,0.30
S,116858,326.0,-63542,0,0.566,0,0.25,0.31,0.27,0.34,0.43,0.96,1.20,0.78,0.28,0.23,0.27,0.27,0.37,0.32,0.33,0.35
S,116958,2.0,-63641,0,0.583,0,0.31,0.27,0.40,0.61,1.24,0.73,0.99,0.24,0.26,0.29,0.32,0.30,-1.00,0.33,0.30,0.29
S,117060,337.5,-63566,0,0.587,0,0.26,0.28,0.27,0.41,0.60,1.18,0.73,1.00,0.25,0.25,0.28,0.30,0.30,0.31,0.33,0.36
S,117161,349.2,-63599,0,0.605,0,0.30,0.25,0.34,0.46,0.95,1.22,0.76,0.28,0.25,0.27,0.28,0.38,0.30,0.34,0.36,0.26
S,117262,346.4,-63592,0,0.571,0,0.28,0.26,0.35,0.43,0.96,1.22,0.77,0.28,0.24,0.27,0.28,0.37,0.30,0.35,0.37,0.25
S,117367,330.4,-63549,0,0.567,0,0.24,0.31,0.26,0.37,0.59,1.25,1.25,0.94,0.25,0.26,0.28,0.29,0.33,0.30,0.36,0.36
S,117468,6.7,-63650,0,0.579,0,0.27,0.32,0.43,0.93,1.24,0.74,0.94,0.25,0.25,0.29,0.33,0.31,-1.00,0.35,0.25,0.28
S,117569,338.3,-63561,0,0.535,0,0.28,0.31,0.25,0.39,0.62,1.22,0.74,1.01,0.24,0.26,0.29,0.32,0.30,0.31,0.34,0.34
S,117672,350.3,-63591,0,0.547,0,0.31,0.25,0.34,0.43,0.97,1.23,0.77,0.30,0.25,0.28,0.29,0.37,0.30,0.33,0.36,0.24
S,117772,348.4,-63594,0,0.521,0,0.31,0.25,0.36,0.46,1.28,1.24,0.81,0.27,0.24,0.25,0.31,0.36,0.28,0.36,0.38,0.25
S,117873,342.6,-63558,0,0.526,0,0.26,0.29,0.25,0.39,0.59,1.21,0.74,1.02,0.24,0.24,0.30,0.32,0.31,0.31,-1.00,0.30
S,117976,0.7,-63621,0,0.502,0,0.28,0.27,0.38,0.62,1.23,0.73,1.01,0.25,0.26,0.31,0.32,0.30,0.31,0.33,0.30,0.28
S,118080,324.6,-63516,0,0.510,0,0.24,0.29,0.26,0.32,0.41,0.98,1.22,0.77,0.31,0.23,0.29,0.29,0.35,0.31,0.32,0.36
S,118181,3.3,-63622,0,0.501,0,0.28,0.27,0.42,0.63,1.27,0.74,0.97,0.26,0.28,0.30,0.33,0.30,0.32,0.34,0.27,0.27
S,118283,343.3,-63556,0,0.496,0,0.26,0.27,0.26,0.39,0.66,1.27,0.77,0.98,0.25,0.28,0.30,0.33,0.29,0.32,0.34,0.28
S,118384,306.9,-63454,0,0.537,0,0.36,0.25,0.31,0.24,0.35,0.43,1.28,1.24,0.82,0.27,0.26,0.29,0.29,0.34,0.30,0.34
S,118486,281.7,-63357,0,0.531,0,0.31,0.32,-1.00,0.28,0.25,0.34,0.43,1.30,1.27,0.93,0.29,0.27,0.29,0.30,-1.00,0.29
S,118594,249.4,-63252,0,0.536,0,0.28,0.28,0.33,0.30,0.25,-1.00,0.26,0.41,0.62,1.26,0.78,1.01,0.26,0.31,0.30,0.34
S,118696,216.4,-63143,0,0.518,0,0.29,0.33,0.26,0.31,0.31,0.24,0.26,0.26,0.27,0.44,0.97,1.26,0.81,0.30,0.25,0.29
S,118799,175.9,-63041,0,0.521,0,0.28,0.28,0.30,0.29,0.28,0.32,0.32,0.23,0.28,0.25,0.39,0.60,1.20,0.76,1.02,0.26
S,118901,140.8,-62938,0,0.519,0,0.31,0.24,0.29,0.26,0.35,0.27,0.30,0.33,0.25,0.26,0.27,0.26,0.43,0.83,1.27,0.80
