S,1788377479.0,2.727,0.088,88.2,0.7945,-1.41,0.21
S,1788377483.5,3.037,-0.081,148.9,0.733,-1.41,0.21
S,1788377483.6,3.037,-0.080,147.5,0.7275,-1.3,0.63
S,1788377483.7,3.037,-0.081,146.9,0.731,-1.3,0.63
S,1788377483.8,3.037,-0.081,147.2,0.73,-1.3,0.63
S,1788377486.1,3.036,-0.074,205.9,0.695,-0.9,0.92
S,1788377486.1,3.037,-0.073,204.8,0.69,-0.9,0.92
S,1788377490.4,2.761,-0.295,257.6,0.59,-0.9,0.92
S,1788377490.4,2.761,-0.295,260.0,0.589,-0.9,0.92
S,1788377515.6,0.542,0.098,300.1,0.645,-0.23,0.62
S,1788377515.7,0.543,0.097,300.0,0.6345000000000001,-0.23,0.62
S,1788377525.7,0.506,0.119,301.7,0.7124999999999999,-0.12,0.35
S,1788377525.8,0.507,0.119,297.1,0.7175,-0.12,0.35
S,1788377525.9,0.506,0.119,295.1,0.7264999999999999,-0.12,0.35
S,1788377526.0,0.506,0.119,297.2,0.713,-0.06,0.21
S,1788377526.1,0.507,0.119,299.6,0.723,-0.06,0.21
S,1788377526.2,0.507,0.119,294.4,0.712,-0.07,0.24
S,1788377526.3,0.506,0.119,297.3,0.7155,-0.07,0.24
S,1788377536.4,0.501,0.122,298.4,0.714,-0.07,0.24
S,1788377536.5,0.501,0.122,296.0,0.7115,-0.07,0.24
S,1788377536.6,0.500,0.122,296.6,0.702,-0.07,0.24
S,1788377536.7,0.501,0.122,296.5,0.7235,-0.07,0.24
S,1788377536.8,0.500,0.123,298.1,0.708,-0.07,0.24
S,1788377536.8,0.500,0.122,296.8,0.7084999999999999,-0.07,0.24
S,1788377536.9,0.502,0.121,296.6,0.7144999999999999,-0.07,0.24
S,1788377537.0,0.500,0.122,295.4,0.704,-0.07,0.24
S,1788377547.0,0.494,0.125,295.7,0.716,-0.07,0.24
S,1788377547.1,0.494,0.125,295.6,0.7124999999999999,-0.07,0.24
S,1788377547.2,0.494,0.125,292.5,0.706,-0.07,0.24
S,1788377547.3,0.495,0.125,297.9,0.704,-0.07,0.24
S,1788377547.3,0.494,0.125,296.1,0.7104999999999999,-0.07,0.24
S,1788377547.4,0.494,0.125,294.7,0.7264999999999999,-0.07,0.24
