65.5 83.6 0.549 [2.076, 0.656, 0.312, 0.179, 0.172, 0.175, 0.245, 0.32, 0.887, 0.938, 0.477, 0.36, 0.281, 0.292, 0.411, 0.612]
66.0 84.9 0.542 [2.079, 0.658, 0.32, 0.17, 0.149, 0.194, 0.27, 0.323, 0.895, 0.947, 0.482, 0.373, 0.257, 0.273, 0.406, 0.613]
66.5 83.7 0.557 [2.099, 0.659, 0.317, 0.186, 0.172, 0.186, 0.274, 0.308, 0.886, 0.942, 0.487, 0.363, 0.267, 0.29, 0.416, 0.607]
67.0 86.9 0.536 [2.084, 0.654, 0.328, 0.161, 0.168, 0.177, 0.289, 0.315, 0.905, 0.94, 0.482, 0.379, 0.267, 0.293, 0.419, 0.605]
67.6 82.5 0.548 [2.099, 0.665, 0.332, 0.184, 0.175, 0.188, 0.253, 0.318, 0.892, 0.943, 0.481, 0.377, 0.265, 0.285, 0.392, 0.637]
68.1 78.5 0.542 [2.079, 0.656, 0.317, 0.189, 0.166, 0.171, 0.248, 0.312, 0.885, 0.952, 0.489, 0.375, -1.0, 0.302, 0.397, 0.622]
68.6 79.7 0.538 [2.095, 0.654, 0.328, 0.179, 0.183, 0.182, 0.251, 0.295, 0.893, 0.935, 0.488, 0.344, 0.284, 0.302, 0.385, 0.617]
69.2 85.1 0.552 [2.086, 0.669, 0.324, -1.0, 0.158, 0.171, 0.251, 0.316, 0.894, 0.963, 0.486, 0.368, 0.26, 0.295, 0.411, 0.619]
69.7 87.7 0.548 [2.083, 0.646, 0.337, 0.18, 0.164, 0.193, 0.254, 0.307, 0.887, 0.939, 0.478, 0.384, 0.257, 0.308, 0.406, 0.622]
70.2 84.4 0.549 [2.097, 0.647, 0.325, 0.181, 0.146, 0.182, 0.272, 0.321, 0.882, 0.945, 0.46, 0.351, 0.284, 0.288, 0.398, 0.602]
70.8 84.8 0.539 [2.087, 0.658, 0.326, 0.185, 0.174, 0.177, 0.27, 0.315, 0.893, 0.924, 0.484, 0.345, 0.259, 0.298, 0.394, 0.595]
71.3 81.0 0.557 [2.105, 0.643, 0.296, 0.183, 0.169, 0.18, 0.261, 0.318, 0.898, 0.935, 0.483, 0.387, 0.271, 0.294, 0.393, -1.0]
71.8 81.5 0.537 [2.091, 0.664, 0.321, 0.182, 0.173, 0.172, 0.265, 0.309, 0.897, 0.956, 0.483, 0.38, 0.272, 0.272, 0.396, 0.625]
72.4 83.0 0.545 [2.096, 0.656, 0.319, 0.164, 0.179, 0.183, 0.279, 0.327, 0.882, 0.947, 0.48, 0.366, 0.275, 0.282, 0.407, 0.607]
72.9 82.8 0.567 [2.095, 0.661, 0.332, 0.192, 0.171, 0.179, 0.258, -1.0, 0.905, 0.94, 0.478, 0.383, 0.278, 0.306, 0.391, 0.597]
73.4 84.8 0.532 [2.09, 0.655, 0.323, 0.185, 0.163, 0.183, 0.264, 0.314, 0.874, 0.94, 0.481, 0.361, 0.283, 0.292, 0.416, 0.629]
73.9 84.0 0.553 [2.067, 0.658, 0.329, 0.176, 0.172, 0.194, 0.253, -1.0, 0.895, 0.935, 0.492, 0.368, 0.288, 0.291, 0.396, 0.628]
74.5 85.1 0.553 [2.084, 0.66, 0.316, 0.187, 0.156, 0.17, 0.26, 0.321, 0.891, 0.949, 0.47, 0.349, 0.275, 0.305, 0.403, 0.611]
75.0 81.9 0.549 [2.106, 0.644, 0.326, 0.182, 0.175, 0.177, 0.258, 0.331, 0.894, 0.94, 0.476, 0.363, 0.28, 0.276, 0.397, 0.621]
75.5 84.9 0.548 [2.083, 0.662, 0.327, 0.168, 0.162, 0.176, 0.249, 0.316, 0.898, 0.93, 0.499, 0.361, 0.286, 0.28, 0.396, 0.614]
76.1 84.4 0.546 [2.097, 0.654, 0.338, 0.17, 0.177, 0.184, 0.255, 0.302, 0.895, 0.944, 0.489, 0.365, 0.281, 0.276, -1.0, 0.622]
76.6 86.0 0.563 [2.097, 0.653, 0.326, 0.193, 0.17, -1.0, 0.254, 0.32, 0.899, 0.96, 0.486, 0.361, 0.289, 0.308, 0.396, 0.609]
77.1 83.3 0.543 [2.092, 0.649, 0.307, 0.174, 0.163, 0.17, 0.241, 0.32, 0.895, 0.938, 0.483, 0.351, 0.272, 0.292, 0.4, 0.605]
77.7 86.0 0.55 [2.086, 0.632, 0.315, 0.18, 0.156, 0.176, 0.265, 0.337, 0.897, 0.94, 0.483, 0.366, 0.288, 0.286, 0.408, 0.612]
78.2 85.2 0.552 [2.094, 0.634, 0.325, 0.181, 0.176, 0.188, 0.247, 0.3, 0.898, 0.957, 0.472, 0.376, 0.256, 0.292, 0.402, 0.613]
78.7 83.0 0.545 [2.081, 0.654, 0.312, 0.179, 0.184, 0.18, 0.229, 0.318, 0.899, 0.943, 0.463, 0.389, 0.278, 0.287, 0.393, 0.624]
79.3 82.6 0.548 [2.09, 0.642, 0.305, 0.176, 0.15, 0.19, 0.269, 0.326, 0.886, 0.947, 0.475, 0.358, 0.288, 0.293, 0.405, 0.617]
