3.09 206.9 [0.142, 0.255, 0.248, 0.258, 0.244, 0.319, 0.618, 1.366, 0.569, 0.412, 0.778, 0.825, 0.91, 0.203, 0.245, 0.156]
3.28 208.0 [0.136, 0.25, 0.248, 0.27, 0.245, 0.331, 0.865, 1.36, 0.563, 0.458, 0.767, 0.82, 0.89, 0.214, 0.233, 0.15]
3.47 205.3 [0.137, 0.273, 0.258, 0.245, 0.237, 0.332, 0.891, 1.366, 0.537, 0.457, 0.757, 0.814, 0.902, 0.202, 0.23, 0.145]
3.66 212.5 [0.15, 0.254, 0.24, 0.252, 0.246, 0.368, 0.909, 1.38, 0.549, 0.452, 0.761, 0.819, 0.889, 0.215, 0.23, 0.135]
3.85 209.9 [0.14, 0.279, 0.268, 0.261, 0.261, 0.378, 1.085, 1.365, 0.537, 0.452, 0.745, 0.827, 0.884, 0.214, 0.204, 0.134]
4.04 208.2 [0.163, 0.281, 0.248, 0.25, 0.243, 0.371, 1.131, 1.358, 0.533, -1.0, 0.743, 0.823, 0.873, 0.229, 0.219, 0.125]
4.23 217.0 [0.131, 0.271, 0.26, 0.262, 0.241, 0.379, 1.155, 1.335, 0.541, 0.444, 0.755, 0.809, 0.875, 0.215, 0.21, 0.139]
4.43 213.0 [0.148, 0.29, 0.257, 0.253, 0.234, 0.414, 1.187, 1.353, 0.411, 0.473, 0.713, 0.807, 0.286, 0.23, 0.19, 0.116]
4.62 214.3 [0.178, 0.276, 0.237, 0.269, 0.241, 0.393, 1.22, 1.364, 0.405, 0.469, 0.729, 0.804, 0.287, 0.231, 0.197, 0.139]
4.81 215.1 [0.201, 0.252, 0.27, 0.255, 0.244, 0.42, 1.246, 1.337, -1.0, 0.474, 0.752, 0.814, 0.249, 0.211, 0.179, 0.126]
5.0 217.4 [0.225, 0.277, 0.24, 0.239, 0.243, 0.449, 1.355, 1.375, 0.386, 0.499, 0.747, 0.793, 0.249, 0.211, 0.186, 0.122]
5.19 216.9 [0.228, 0.263, 0.235, 0.249, 0.233, 0.481, 1.342, 1.379, 0.399, 0.683, 0.738, 0.81, 0.249, 0.231, 0.168, 0.108]
5.38 215.0 [0.231, 0.28, 0.271, 0.257, 0.241, 0.507, 1.328, 1.384, 0.406, 0.672, 0.749, 0.819, 0.234, 0.226, 0.183, 0.104]
5.57 219.5 [0.216, 0.269, 0.255, 0.248, 0.255, 0.538, 1.316, 1.41, 0.414, 0.697, 0.761, 0.811, 0.239, 0.217, 0.148, 0.107]
5.76 221.0 [0.237, 0.259, 0.263, 0.238, 0.259, 0.537, 1.307, 1.424, 0.412, 0.708, 0.751, 0.807, 0.211, 0.193, 0.165, 0.127]
5.95 219.7 [0.248, 0.246, 0.276, 0.239, 0.255, 0.546, 1.291, 0.802, 0.402, 0.711, 0.766, 0.827, 0.214, 0.219, 0.156, 0.11]
6.14 223.7 [0.251, 0.239, 0.263, 0.243, 0.258, 0.55, 1.287, 0.564, 0.426, 0.705, 0.785, 0.848, 0.207, 0.238, 0.151, 0.113]
6.33 226.3 [0.253, 0.263, 0.269, 0.236, 0.279, 0.563, 1.307, 0.571, 0.427, 0.72, 0.797, 0.862, 0.222, 0.229, 0.159, 0.13]
6.52 230.0 [0.26, 0.254, 0.271, 0.258, 0.289, 0.557, 1.31, 0.574, 0.43, 0.745, 0.796, 0.889, 0.229, 0.224, 0.155, 0.114]
6.71 224.6 [0.267, 0.235, 0.272, 0.24, 0.269, 0.581, 1.344, 0.567, 0.438, 0.774, 0.811, 0.898, 0.193, 0.212, 0.129, 0.126]
6.9 221.9 [0.263, 0.266, 0.256, 0.238, 0.3, 0.589, 1.36, 0.571, 0.431, 0.8, 0.836, 0.898, 0.218, 0.228, 0.145, 0.142]
7.09 227.9 [0.254, 0.261, 0.255, -1.0, 0.307, 0.626, 1.363, 0.576, 0.44, 0.782, 0.823, 0.917, 0.228, 0.205, 0.143, 0.129]
7.29 225.5 [0.268, 0.233, 0.264, 0.242, -1.0, 0.857, 1.37, 0.552, 0.426, 0.794, 0.833, 0.911, 0.21, 0.242, 0.131, 0.14]
7.48 234.0 [0.263, -1.0, 0.254, 0.245, 0.348, 0.871, 1.376, 0.54, 0.446, 0.757, 0.821, 0.891, 0.213, 0.24, 0.145, 0.139]
7.67 232.8 [0.287, 0.242, 0.265, 0.239, 0.352, 0.906, 1.365, 0.545, 0.447, 0.762, 0.805, 0.894, 0.218, 0.226, 0.13, 0.127]
7.86 232.4 [0.274, 0.228, 0.26, 0.227, 0.356, 0.966, 1.357, 0.552, 0.435, 0.758, 0.802, 0.862, 0.214, 0.219, 0.142, 0.148]
8.05 233.7 [0.282, 0.268, 0.272, 0.234, 0.393, 1.121, 1.362, 0.545, 0.451, 0.744, 0.801, 0.87, 0.231, 0.216, 0.136, 0.154]
8.24 233.2 [0.277, 0.255, 0.259, 0.23, 0.379, 1.164, 1.358, 0.532, 0.468, 0.706, 0.805, 0.885, 0.22, 0.227, 0.115, 0.157]
8.43 234.5 [0.275, 0.255, 0.253, 0.248, 0.373, 1.169, 1.383, 0.428, 0.46, 0.736, 0.809, 0.303, 0.224, 0.195, 0.126, 0.151]
8.62 234.4 [0.293, 0.26, 0.265, 0.233, 0.402, 1.207, 1.342, 0.413, 0.464, 0.721, 0.82, 0.276, 0.207, 0.191, 0.122, 0.162]
8.81 235.5 [0.28, 0.262, 0.266, 0.24, 0.397, 1.227, 1.342, 0.396, 0.479, 0.722, 0.811, 0.257, 0.225, 0.183, 0.148, 0.174]
9.0 239.4 [0.291, 0.253, 0.23, 0.245, 0.411, 1.283, 1.353, 0.384, 0.505, 0.74, 0.835, 0.257, 0.235, 0.187, 0.108, 0.206]
9.19 239.3 [0.281, 0.263, 0.255, 0.241, 0.465, 1.343, 1.389, 0.373, 0.682, 0.724, 0.815, 0.251, -1.0, 0.17, 0.131, 0.228]
9.38 240.3 [0.257, 0.256, 0.254, 0.226, 0.493, 1.32, 1.375, 0.382, 0.686, 0.718, 0.811, 0.231, 0.225, 0.175, 0.107, 0.212]
9.57 242.6 [0.273, 0.259, 0.24, 0.233, 0.511, 1.294, 1.417, 0.384, 0.713, 0.741, 0.802, 0.239, 0.246, 0.157, 0.121, 0.225]
9.76 242.5 [0.262, 0.266, 0.253, 0.251, 0.542, 1.289, 1.415, 0.398, 0.693, 0.768, 0.792, 0.244, 0.224, 0.158, 0.118, 0.249]
9.95 246.3 [0.249, 0.266, 0.253, 0.257, 0.558, 1.287, 0.793, 0.423, 0.696, 0.761, 0.815, 0.239, 0.205, 0.147, 0.114, 0.249]
10.14 245.2 [0.25, 0.252, 0.223, 0.271, 0.548, 1.295, 0.572, 0.432, 0.694, 0.772, 0.814, 0.206, 0.217, 0.159, 0.119, 0.242]
10.34 246.4 [0.256, 0.275, 0.253, 0.247, 0.565, 1.294, 0.579, 0.439, 0.704, 0.801, 0.851, 0.217, 0.214, 0.148, 0.128, 0.252]
10.53 244.1 [0.271, 0.265, 0.253, 0.279, 0.572, 1.298, 0.585, 0.426, 0.734, 0.81, 0.871, 0.208, 0.243, -1.0, 0.122, 0.263]
10.72 245.9 [0.26, 0.279, 0.237, 0.283, 0.58, 1.325, 0.571, 0.437, 0.746, 0.805, 0.882, 0.208, 0.229, 0.159, 0.115, 0.247]
10.91 245.8 [0.246, 0.284, 0.253, 0.307, 0.602, 1.342, 0.574, 0.432, 0.813, 0.821, 0.882, 0.212, 0.22, 0.141, 0.119, 0.259]
