1789579562.2 A PING 0.0 0.0 270 n=0
1789579981.1 POSE x=-0.06 y=-0.09 d11=0.316 d3=tick=392422 goal=0 here=0
1789579983.7 POSE x=-0.05 y=-0.08 d11=0.336 d3=tick=392688 goal=0 here=0
1789579986.9 POSE x=-0.07 y=-0.10 d11=0.344 d3=tick=393008 goal=0 here=0
1789579989.7 POSE x=-0.06 y=-0.09 d11=0.327 d3=tick=393281 goal=0 here=0
1789579992.2 POSE x=-0.05 y=-0.08 d11=0.306 d3=tick=393533 goal=0 here=0
1789579995.0 POSE x=-0.04 y=-0.06 d11=0.308 d3=tick=393812 goal=0 here=0
1789579997.8 POSE x=-0.03 y=-0.05 d11=0.355 d3=tick=394095 goal=0 here=0
1789580000.8 POSE x=-0.03 y=-0.04 d11=0.360 d3=tick=394390 goal=0 here=0
1789580004.2 POSE x=-0.07 y=-0.10 d11=0.373 d3=tick=394736 goal=0 here=0
1789580007.4 POSE x=-0.10 y=-0.15 d11=0.345 d3=tick=395049 goal=0 here=0
1789580010.4 POSE x=-0.13 y=-0.20 d11=0.351 d3=tick=395355 goal=0 here=0
1789580013.4 POSE x=-0.16 y=-0.25 d11=0.319 d3=tick=395649 goal=0 here=0
1789580016.5 POSE x=-0.19 y=-0.30 d11=0.298 d3=tick=395960 goal=0 here=0
1789580019.5 POSE x=-0.23 y=-0.35 d11=0.297 d3=tick=396269 goal=0 here=0
1789580026.4 POSE x=-0.04 y=-0.03 d11=0.322 d3=tick=396956 goal=0 here=0
1789580029.2 POSE x=-0.09 y=-0.06 d11=0.287 d3=tick=397240 goal=0 here=0
1789580032.0 POSE x=-0.13 y=-0.09 d11=0.318 d3=tick=397515 goal=0 here=0
1789580035.3 POSE x=-0.18 y=-0.12 d11=0.303 d3=tick=397838 goal=0 here=0
1789580038.5 POSE x=-0.23 y=-0.16 d11=0.320 d3=tick=398158 goal=0 here=0
1789580041.6 POSE x=-0.27 y=-0.19 d11=0.299 d3=tick=398481 goal=0 here=0
1789580044.6 POSE x=-0.26 y=-0.18 d11=0.299 d3=tick=398768 goal=0 here=0
1789580047.2 POSE x=-0.24 y=-0.17 d11=0.307 d3=tick=399030 goal=0 here=0
1789580050.0 POSE x=-0.23 y=-0.16 d11=0.320 d3=tick=399309 goal=0 here=0
1789580052.6 POSE x=-0.22 y=-0.15 d11=0.317 d3=tick=399572 goal=0 here=0
1789580055.5 POSE x=-0.21 y=-0.14 d11=0.298 d3=tick=399858 goal=0 here=0
1789580058.0 POSE x=-0.19 y=-0.13 d11=0.299 d3=tick=400111 goal=0 here=0
1789580060.6 POSE x=-0.18 y=-0.13 d11=0.314 d3=tick=400368 goal=0 here=0
1789580063.5 POSE x=-0.17 y=-0.12 d11=0.334 d3=tick=400662 goal=0 here=0
1789580066.2 POSE x=-0.15 y=-0.11 d11=0.330 d3=tick=400929 goal=0 here=0
1789580068.7 POSE x=-0.14 y=-0.10 d11=0.330 d3=tick=401187 goal=0 here=0
1789580071.7 POSE x=-0.13 y=-0.09 d11=0.330 d3=tick=401482 goal=0 here=0
1789580074.4 POSE x=-0.12 y=-0.08 d11=0.314 d3=tick=401749 goal=0 here=0
1789580077.0 POSE x=-0.10 y=-0.07 d11=0.285 d3=tick=402018 goal=0 here=0
1789580080.0 POSE x=-0.09 y=-0.06 d11=0.288 d3=tick=402311 goal=0 here=0
1789580082.9 POSE x=-0.08 y=-0.05 d11=0.322 d3=tick=402601 goal=0 here=0
1789580086.1 POSE x=-0.06 y=-0.04 d11=0.314 d3=tick=402926 goal=0 here=0
1789580089.1 POSE x=-0.05 y=-0.03 d11=0.301 d3=tick=403222 goal=0 here=0
1789580092.4 POSE x=-0.03 y=-0.02 d11=0.297 d3=tick=403549 goal=0 here=0
1789580095.0 POSE x=-0.01 y=-0.01 d11=0.302 d3=tick=403814 goal=0 here=0
1789580097.6 POSE x=-0.00 y=-0.00 d11=0.315 d3=tick=404077 goal=0 here=0
1789580100.2 POSE x=0.01 y=0.01 d11=0.298 d3=tick=404336 goal=0 here=0
1789580103.1 POSE x=0.02 y=0.02 d11=0.297 d3=tick=404621 goal=0 here=0
1789580105.6 POSE x=0.03 y=0.02 d11=0.293 d3=tick=404876 goal=0 here=0
1789580108.4 POSE x=0.05 y=0.03 d11=0.314 d3=tick=405156 goal=0 here=0
1789580111.2 POSE x=0.06 y=0.04 d11=0.332 d3=tick=405431 goal=0 here=0
1789580114.7 POSE x=0.07 y=0.05 d11=0.346 d3=tick=405781 goal=0 here=0
1789580118.3 POSE x=0.01 y=0.01 d11=0.329 d3=tick=406139 goal=0 here=0
1789580121.3 POSE x=-0.04 y=-0.03 d11=0.311 d3=tick=406447 goal=0 here=0
1789580124.2 POSE x=-0.08 y=-0.06 d11=0.288 d3=tick=406737 goal=0 here=0
1789580127.4 POSE x=-0.14 y=-0.09 d11=0.309 d3=tick=407055 goal=0 here=0
1789580130.0 POSE x=-0.18 y=-0.12 d11=0.333 d3=tick=407313 goal=0 here=0
1789580132.5 POSE x=-0.22 y=-0.15 d11=0.316 d3=tick=407562 goal=0 here=0
1789580135.8 POSE x=-0.27 y=-0.19 d11=0.293 d3=tick=407889 goal=0 here=0
1789580138.8 POSE x=-0.32 y=-0.22 d11=0.290 d3=tick=408193 goal=0 here=0
1789580141.3 POSE x=-0.36 y=-0.25 d11=0.311 d3=tick=408447 goal=0 here=0
1789580144.9 POSE x=-0.42 y=-0.29 d11=0.329 d3=tick=408807 goal=0 here=0
1789580148.1 POSE x=-0.47 y=-0.32 d11=0.353 d3=tick=409126 goal=0 here=0
1789580151.3 POSE x=-0.52 y=-0.36 d11=0.374 d3=tick=409438 goal=0 here=0
1789580154.2 POSE x=-0.54 y=-0.37 d11=0.377 d3=tick=409737 goal=0 here=0
1789580157.4 POSE x=-0.54 y=-0.37 d11=0.341 d3=tick=410054 goal=0 here=0
1789580161.3 POSE x=-0.60 y=-0.41 d11=0.356 d3=tick=410442 goal=0 here=0
1789580164.8 POSE x=-0.66 y=-0.46 d11=0.386 d3=tick=410796 goal=0 here=0
