19.31,69,262.4,0.40,0.00,16,85,BEND,0.64;0.99;1.88;4.82;1.11;1.16;1.95;2.37;1.18;0.66;0.44;0.34;0.31;0.30;0.36;0.47,tick=151110 goal=0 lap=0 last=0.0 best=0.0
19.59,70,285.3,0.37,0.66,16,85,BEND,0.73;1.28;6.00;1.43;1.04;1.58;2.89;1.47;0.84;0.54;0.35;0.31;0.31;0.33;0.34;0.46,tick=151138 goal=0 lap=0 last=0.0 best=0.0
19.87,71,302.9,0.34,0.61,16,85,BEND,0.91;5.98;1.80;1.10;1.20;3.54;1.92;1.19;0.71;0.46;0.39;0.30;0.28;0.29;0.38;0.53,tick=151166 goal=0 lap=0 last=0.0 best=0.0
20.16,72,318.0,0.33,0.54,16,85,BEND,5.04;2.19;1.17;0.97;1.92;2.46;1.54;1.02;0.65;0.46;0.34;0.29;0.31;0.35;0.44;0.70,tick=151194 goal=0 lap=0 last=0.0 best=0.0
20.44,73,342.5,0.33,0.54,30,57.77999999999999,FWD,2.74;1.22;0.89;0.99;2.99;1.92;1.33;0.90;-1.00;0.44;0.37;0.37;0.34;0.41;0.61;2.10,tick=151222 goal=0 lap=0 last=0.0 best=0.0
20.72,74,355.2,0.32,0.40,20,70,FWD,1.30;0.85;0.74;3.65;2.41;1.72;1.30;0.94;0.66;0.52;0.43;0.42;0.45;0.61;1.37;4.76,tick=151250 goal=0 lap=0 last=0.0 best=0.0
21.00,75,4.6,0.00,0.46,16,-25,BEND,0.80;0.63;0.63;2.94;2.11;1.66;1.27;1.00;0.74;0.58;0.51;0.54;0.66;1.16;6.00;1.44,tick=151278 goal=0 lap=0 last=0.0 best=0.0
21.28,76,19.5,0.34,-0.20,16,-25,BEND,0.51;0.45;0.48;2.60;2.00;1.67;1.36;1.07;0.86;0.68;0.65;0.71;1.02;2.59;2.45;0.77,tick=151306 goal=0 lap=0 last=0.0 best=0.0
21.56,77,9.1,0.32,-0.15,-45,70,REV,0.37;0.28;0.29;0.35;2.20;1.85;1.65;1.40;1.10;0.87;0.77;0.86;1.14;2.33;3.96;0.60,tick=151334 goal=0 lap=0 last=0.0 best=0.0
21.84,78,13.5,0.24,0.29,-45,70,REV,0.19;0.16;0.15;0.17;0.25;1.97;1.79;1.58;1.27;0.98;0.88;0.96;1.31;2.66;1.93;0.32,tick=151362 goal=0 lap=0 last=0.0 best=0.0
22.12,79,19.1,-0.01,-0.06,-45,70,REV,0.11;0.11;0.11;0.10;0.19;1.98;1.82;1.56;1.24;1.00;0.97;1.11;1.60;4.16;0.45;0.17,tick=151390 goal=0 lap=0 last=0.0 best=0.0
22.40,80,14.8,-0.13,-0.24,-45,70,REV,0.16;0.14;0.14;0.16;0.22;1.97;1.80;-1.00;1.27;0.99;0.91;1.01;1.41;3.15;0.95;0.27,tick=151418 goal=0 lap=0 last=0.0 best=0.0
22.68,81,3.8,-0.17,-0.19,-45,70,REV,0.27;0.20;0.18;0.21;0.32;1.98;1.78;1.53;1.26;0.98;0.85;0.91;1.15;2.10;6.00;0.48,tick=151446 goal=0 lap=0 last=0.0 best=0.0
22.96,82,2.7,-0.16,-0.24,-45,70,REV,0.39;0.28;0.26;0.27;0.38;1.99;1.75;1.53;1.25;0.98;0.82;0.82;1.00;1.56;5.73;0.87,tick=151474 goal=0 lap=0 last=0.0 best=0.0
23.24,83,352.5,-0.16,-0.21,16,-85,BEND,0.54;0.36;0.31;0.33;0.41;2.05;1.78;1.52;1.28;1.04;0.84;0.78;0.85;1.22;2.92;1.82,tick=151503 goal=0 lap=0 last=0.0 best=0.0
23.52,84,350.1,-0.12,0.20,16,-84.6,BEND,0.72;0.42;0.36;0.37;0.49;2.03;1.73;1.47;1.25;0.98;0.81;0.74;0.77;1.08;2.29;3.63,tick=151531 goal=0 lap=0 last=0.0 best=0.0
23.80,85,351.0,-0.06,0.05,16,-79.64,BEND,0.64;0.46;0.39;0.41;2.47;1.91;1.61;1.35;1.12;0.91;0.76;0.72;0.81;1.15;2.97;1.94,tick=151559 goal=0 lap=0 last=0.0 best=0.0
24.08,86,355.6,0.01,0.01,16,-78.6,BEND,0.62;0.45;0.39;0.43;2.43;1.88;1.58;1.32;1.09;0.90;0.75;0.73;0.80;1.18;3.25;1.75,tick=151587 goal=0 lap=0 last=0.0 best=0.0
24.37,87,355.8,0.06,-0.12,16,-79.64,BEND,0.67;0.43;0.39;0.41;2.49;1.91;1.63;1.37;1.13;0.94;0.76;0.72;0.79;1.15;2.93;1.95,tick=151615 goal=0 lap=0 last=0.0 best=0.0
24.65,88,347.4,0.09,-0.12,16,-85,BEND,0.68;0.43;0.35;0.35;0.56;2.00;1.71;1.45;1.24;0.97;0.79;0.73;0.80;1.09;2.40;3.04,tick=151643 goal=0 lap=0 last=0.0 best=0.0
24.93,89,345.2,0.13,-0.21,16,-85,BEND,0.74;0.44;0.34;0.33;0.41;2.20;1.81;1.56;1.34;1.05;0.85;0.76;0.79;1.01;1.88;5.99,tick=151671 goal=0 lap=0 last=0.0 best=0.0
25.21,90,0.0,0.16,-0.24,16,-85,BEND,0.96;0.45;0.33;0.29;0.32;0.45;1.99;1.70;1.47;1.19;0.96;0.78;0.77;0.95;1.49;5.99,tick=151699 goal=0 lap=0 last=0.0 best=0.0
25.49,91,331.1,0.17,0.00,16,-85,BEND,1.88;0.52;0.35;0.28;0.27;0.33;2.19;1.90;1.67;1.38;1.07;0.85;0.78;0.89;1.22;2.82,tick=151727 goal=0 lap=0 last=0.0 best=0.0
25.77,92,315.8,0.17,-0.31,16,-85,BEND,6.00;0.70;0.35;0.29;0.27;0.29;0.39;2.12;1.87;1.57;1.23;0.91;0.78;0.81;1.02;1.80,tick=151755 goal=0 lap=0 last=0.0 best=0.0
26.05,93,310.2,0.18,-0.35,30,-47.925,FWD,3.31;1.46;0.48;0.32;0.26;0.28;0.33;0.54;2.10;1.81;1.42;1.02;0.78;0.77;0.88;1.29,tick=151783 goal=0 lap=0 last=0.0 best=0.0
26.33,94,301.4,0.23,-0.20,20,-39.72,FWD,1.83;6.00;0.75;0.42;0.32;0.30;0.32;0.46;2.31;2.05;1.65;1.12;0.79;0.71;0.76;0.99,tick=151811 goal=0 lap=0 last=0.0 best=0.0
26.61,95,291.0,0.27,-0.23,16,-23.680000000000003,BEND,1.31;5.00;1.30;0.58;0.42;0.36;0.38;0.48;0.90;2.25;1.84;1.18;0.78;0.66;0.68;0.78,tick=151839 goal=0 lap=0 last=0.0 best=0.0
26.89,96,282.9,0.28,-0.12,16,45.24000000000001,BEND,0.98;2.51;2.63;0.81;0.53;0.45;0.45;0.52;0.80;-1.00;2.00;1.22;0.71;0.57;0.56;0.67,tick=151867 goal=0 lap=0 last=0.0 best=0.0
27.17,97,285.5,0.26,0.23,16,59.800000000000004,BEND,0.81;2.09;3.24;0.96;0.63;0.54;0.54;0.65;0.96;2.57;2.06;0.97;0.58;0.48;0.48;0.57,tick=151893 goal=0 lap=0 last=0.0 best=0.0
27.45,98,294.8,0.28,0.31,16,70.44,BEND,0.85;5.00;1.91;0.90;0.65;0.60;0.64;0.82;2.94;2.50;1.58;0.62;0.45;0.41;0.42;0.50,tick=151923 goal=0 lap=0 last=0.0 best=0.0
27.73,99,306.9,0.26,0.35,16,81.48,BEND,1.24;6.00;1.31;0.81;0.67;0.67;0.76;1.07;2.92;2.23;0.71;0.43;0.34;0.36;0.39;0.53,tick=151952 goal=0 lap=0 last=0.0 best=0.0
28.01,100,318.8,0.27,0.44,16,85,BEND,5.18;2.06;1.00;0.74;0.68;0.72;0.92;3.22;2.68;1.00;0.48;0.35;0.31;0.32;0.41;0.72,tick=151980 goal=0 lap=0 last=0.0 best=0.0
28.29,101,334.9,0.28,0.47,30,27.065000000000005,FWD,3.74;1.21;0.80;0.68;0.66;0.80;1.19;3.10;2.10;0.61;0.39;0.31;0.32;0.41;0.59;1.60,tick=152008 goal=0 lap=0 last=0.0 best=0.0
28.58,102,346.0,0.28,0.18,20,21.36,FWD,1.69;0.87;0.65;0.60;0.66;0.86;1.68;2.91;1.03;0.54;0.40;0.36;0.40;0.52;0.95;5.99,tick=152036 goal=0 lap=0 last=0.0 best=0.0
28.86,103,350.7,0.29,0.11,16,7.920000000000003,BEND,1.25;0.74;0.58;0.54;0.62;0.83;3.54;2.94;0.99;0.58;0.46;0.44;0.50;0.66;1.38;6.00,tick=152064 goal=0 lap=0 last=0.0 best=0.0
29.14,104,352.6,0.30,0.04,16,-58.760000000000005,BEND,0.95;0.59;0.49;0.48;0.53;0.77;3.65;3.05;1.07;0.66;0.54;0.53;0.60;0.86;1.94;4.24,tick=152092 goal=0 lap=0 last=0.0 best=0.0
29.42,105,347.7,0.29,-0.31,16,-73.16,BEND,0.89;0.50;0.41;0.38;0.44;0.59;1.26;3.33;1.36;0.78;0.62;0.61;0.67;0.92;1.90;6.00,tick=152120 goal=0 lap=0 last=0.0 best=0.0
29.70,106,339.2,0.30,-0.41,30,-26.575000000000003,FWD,1.34;-1.00;0.39;0.33;0.34;0.41;0.64;3.84;2.89;1.10;0.75;0.67;0.68;0.81;1.32;4.62,tick=152148 goal=0 lap=0 last=0.0 best=0.0
29.98,107,328.2,0.32,-0.17,16,-85,BEND,5.75;0.71;0.39;0.33;0.29;0.34;0.46;0.94;3.73;1.54;0.92;0.73;0.69;0.76;1.03;2.12,tick=152176 goal=0 lap=0 last=0.0 best=0.0
30.26,108,318.2,0.33,-0.51,30,-28.499999999999993,FWD,6.00;1.07;0.49;0.34;0.33;0.33;0.39;0.63;4.16;2.44;1.06;0.76;0.70;0.71;0.90;1.46,tick=152204 goal=0 lap=0 last=0.0 best=0.0
30.54,109,303.9,0.32,-0.21,20,-27.870000000000005,FWD,1.93;6.00;0.82;0.48;0.36;0.34;0.37;0.52;1.04;4.00;1.48;0.85;0.68;0.65;0.72;0.96,tick=152232 goal=0 lap=0 last=0.0 best=0.0
