4.77,476517,-11.166,-0.470,2.9,147.7,0.833,-0.164,92,31.89416666666667,RUN,1.37,0.70,0.48,0.95
4.97,476517,-10.993,-0.455,5.7,155.6,0.906,0.079,92,-0.9275000000000055,RUN,1.03,0.64,0.55,0.95
5.17,476575,-10.807,-0.431,10.5,165.0,0.961,1.300,0,-75.59333333333333,COAST,0.73,0.58,0.69,0.62
5.35,476596,-10.632,-0.417,1.8,149.7,0.881,0.032,92,-36.68166666666668,RUN,0.99,0.46,0.70,0.95
5.55,476596,-10.461,-0.421,357.1,137.5,0.879,-0.362,92,-16.800833333333333,RUN,1.40,0.47,0.69,0.95
5.74,476626,-10.288,-0.436,354.4,136.1,0.951,-0.111,92,-4.278333333333336,RUN,1.10,0.53,0.65,0.95
5.94,476644,-10.092,-0.455,354.6,134.4,1.019,0.093,90.545,14.222500000000004,RUN,0.93,0.61,0.56,0.95
6.13,476677,-9.883,-0.467,358.3,134.1,1.072,0.383,0,18.88666666666667,COAST,0.99,0.67,0.48,0.80
6.32,476694,-9.689,-0.464,2.2,148.9,1.033,0.342,89.915,12.625833333333329,RUN,1.31,0.66,0.49,0.95
6.51,476702,-9.491,-0.450,4.9,152.3,0.998,0.240,91.49000000000001,-1.1775000000000055,RUN,1.12,0.62,0.52,0.95
6.70,476735,-9.295,-0.439,359.8,145.5,1.053,-1.368,0,35.955833333333345,COAST,1.23,0.56,0.58,0.62
6.90,476750,-9.102,-0.438,359.9,145.1,1.011,-0.007,90.905,85,RUN,1.26,2.35,0.59,0.95
7.08,476760,-8.921,-0.431,1.4,142.1,0.946,-0.701,0,1.4374999999999964,COAST,1.03,0.52,0.62,0.62
7.27,476773,-8.744,-0.433,358.6,147.1,0.926,-0.174,92,-14.334166666666668,RUN,1.24,0.49,0.64,0.95
7.47,476773,-8.558,-0.443,356.2,138.7,0.989,-0.125,91.89500000000001,-5.953333333333324,RUN,1.26,0.51,0.61,0.95
7.66,476829,-8.363,-0.458,355.7,136.9,1.053,0.141,0,0.5458333333333281,COAST,1.08,0.57,0.56,0.95
7.86,476836,-8.152,-0.471,357.0,138.4,1.064,0.186,0,9.372499999999997,COAST,1.07,0.60,0.51,0.95
8.06,476864,-7.953,-0.477,359.3,142.3,1.018,0.192,90.59,-85,RUN,1.23,0.61,2.33,0.95
8.26,476864,-7.749,-0.500,347.4,124.3,0.981,-1.327,0,85,COAST,0.57,0.74,0.48,0.39
8.44,476894,-7.586,-0.528,352.1,140.4,0.851,-0.146,0,71.8475,COAST,0.61,0.78,0.35,0.49
8.63,476917,-7.439,-0.533,0.8,150.9,0.736,0.631,0,34.095833333333324,COAST,1.25,0.77,0.35,0.62
8.83,476942,-7.299,-0.523,5.8,160.0,0.757,0.426,79.83500000000001,16.903333333333343,RUN,1.04,0.75,0.43,0.80
9.02,476948,-7.149,-0.505,6.8,164.7,0.834,-0.054,-30,-11.959999999999985,BRAKE,0.77,0.64,0.58,0.77
9.21,476948,-7.005,-0.492,3.7,162.3,0.678,-0.353,58.30575211733826,-28.284166666666682,RUN,0.68,0.51,0.67,0.63
9.40,476948,-6.872,-0.491,357.8,148.8,0.721,-0.923,0,-16.881666666666657,COAST,0.80,0.41,0.70,0.62
9.60,477023,-6.724,-0.500,356.8,142.5,0.752,0.543,80.06,-56.449166666666656,RUN,0.96,0.41,0.70,0.80
9.80,477023,-6.575,-0.519,351.3,134.5,0.747,-0.400,80.28500000000001,-85,RUN,1.25,0.43,2.46,0.80
9.99,477059,-6.431,-0.547,348.2,126.3,0.777,-0.178,89.42637902558927,11.685833333333342,RUN,0.84,0.54,0.61,0.87
10.19,477081,-6.275,-0.578,349.7,130.3,0.802,0.196,-30,24.660833333333326,BRAKE,0.75,0.63,0.50,0.74
10.39,477097,-6.124,-0.599,353.8,138.2,0.750,0.357,84.8215685310809,26.8975,RUN,0.81,0.66,0.42,0.83
10.58,477122,-5.969,-0.609,358.2,149.1,0.844,0.402,75.92000000000002,21.816666666666656,RUN,1.14,0.67,0.42,0.80
10.78,477137,-5.791,-0.612,357.4,145.8,0.911,-0.635,0,42.3475,COAST,1.29,0.64,0.45,0.62
10.97,477150,-5.622,-0.612,0.3,152.3,0.881,0.200,92,2.896666666666654,RUN,1.05,0.61,0.49,0.95
11.16,477180,-5.448,-0.611,359.7,153.2,0.973,-0.198,92,-5.905,RUN,0.92,0.53,0.57,0.95
11.36,477195,-5.248,-0.618,356.9,149.2,1.029,-0.348,90.09500000000001,-12.79083333333333,RUN,0.92,0.46,0.61,0.95
11.55,477215,-5.050,-0.640,349.7,138.4,1.025,-1.346,0,23.824166666666667,COAST,1.16,0.46,0.61,0.62
11.74,477215,-4.864,-0.671,350.3,138.0,1.006,0.005,91.13000000000001,1.7449999999999966,RUN,0.97,0.52,0.56,0.95
11.93,477256,-4.668,-0.702,351.7,138.6,1.057,0.221,0,10.890000000000011,COAST,0.91,0.57,0.49,0.95
12.13,477276,-4.464,-0.726,354.5,142.9,1.045,0.319,89.375,12.33166666666665,RUN,1.09,0.61,0.46,0.95
