-0.08 0.03 17.5 | 0.37,0.17 0.25,0.00 0.20,-0.12 0.10,-0.18 -0.01,-0.22 -0.12,-0.33 -0.26,-0.31 -0.92,-0.67 -1.11,-0.29 -1.38,0.14 -0.88,0.45 -0.57,0.61 -0.33,0.80 -0.00,0.94 0.60,1.34 0.25,0.31
0.00 0.00 0.0 | 0.37,0.00 0.92,-0.38 0.53,-0.53 0.40,-0.96 0.00,-0.83 -0.10,-0.25 -0.16,-0.16 -0.15,-0.06 -0.16,-0.00 -0.23,0.09 -0.23,0.23 -0.18,0.44 -0.00,0.47 0.21,0.51 0.28,0.28 0.35,0.15
-2.78 7.67 283.2 | -2.62,7.01 -2.93,6.70 -3.70,6.18 -3.65,7.04 -3.39,7.52 -3.03,7.71 -2.90,7.74 -2.85,7.77 -2.81,7.81 -2.74,7.91 -2.62,7.92 -2.41,7.93 -2.31,7.78 -2.22,7.58 -2.43,7.45 -2.54,7.33
-2.78 7.67 283.2 | -2.69,7.28 -2.94,6.68 -3.44,6.60 -3.66,7.03 -3.41,7.52 -3.04,7.71 -2.91,7.75 -2.86,7.78 -2.81,7.81 -2.74,7.90 -2.62,7.92 -2.41,7.93 -2.34,7.77 -2.23,7.58 -2.42,7.45 -2.53,7.33
-2.76 7.63 302.0 | -2.26,6.84 -2.63,6.88 -3.01,6.54 -3.32,6.84 -2.99,7.49 -2.99,7.59 -2.92,7.67 -2.89,7.73 -2.87,7.82 -2.81,7.93 -2.66,8.07 -2.49,8.00 -2.30,7.91 -2.27,7.71 -2.42,7.55 -2.45,7.41
-2.65 7.58 334.0 | -1.07,6.80 -2.00,6.83 -2.40,6.85 -2.67,7.29 -2.77,7.33 -2.83,7.42 -2.86,7.51 -3.01,7.60 -3.05,7.77 -2.98,7.95 -2.84,8.11 -2.62,8.07 -2.51,7.87 -2.42,7.78 -1.84,7.86 -1.80,7.52
-2.56 7.58 357.4 | -1.65,7.53 -1.90,7.27 -2.29,7.28 -2.47,7.33 -2.57,7.33 -2.67,7.34 -2.83,7.33 -3.04,7.40 -3.14,7.60 -3.13,7.84 -2.81,7.84 -2.68,7.91 -2.53,8.33 -2.22,8.31 -2.00,8.09 -0.93,8.17
-2.46 7.57 358.7 | -1.60,7.55 -1.86,7.30 -2.21,7.31 -2.36,7.32 -2.46,7.34 -2.57,7.31 -2.69,7.34 -2.98,7.36 -3.11,7.58 -3.10,7.85 -2.74,7.87 -2.57,7.85 -2.44,8.34 -2.13,8.30 -2.06,7.95 -0.74,8.23
-2.35 7.56 356.1 | -1.59,7.51 -1.82,7.30 -2.10,7.27 -2.25,7.26 -2.37,7.34 -2.48,7.31 -2.61,7.34 -2.93,7.37 -3.10,7.61 -3.00,7.88 -2.65,7.90 -2.62,8.34 -2.30,8.36 -2.00,8.28 -1.99,7.88 -0.66,8.13
-2.24 7.55 356.3 | -1.56,7.51 -1.70,7.29 -1.95,7.23 -2.15,7.29 -2.26,7.25 -2.34,7.34 -2.52,7.30 -2.88,7.34 -3.05,7.61 -2.95,7.91 -2.50,7.86 -2.50,8.34 -2.19,8.32 -2.03,7.98 -1.48,8.21 -0.60,8.11
-2.13 7.55 356.6 | -1.53,7.51 -1.57,7.28 -1.85,7.23 -2.03,7.26 -2.15,7.30 -2.26,7.27 -2.38,7.33 -2.81,7.31 -3.03,7.60 -2.72,7.83 -2.83,8.33 -2.40,8.33 -2.09,8.28 -1.96,7.91 -1.38,8.22 -1.50,7.77
-2.03 7.54 358.0 | -1.51,7.53 -1.77,7.26 -1.91,7.23 -2.04,7.28 -2.16,7.26 -2.28,7.31 -2.57,7.34 -3.01,7.58 -2.66,7.83 -2.76,8.32 -2.33,8.34 -2.00,8.27 -1.69,8.29 -1.28,8.24 -1.48,7.75
-1.93 7.54 358.3 | -1.47,7.53 -1.51,7.35 -1.70,7.30 -1.82,7.25 -1.94,7.26 -2.05,7.28 -2.22,7.27 -2.52,7.32 -3.00,7.57 -2.61,7.85 -2.69,8.35 -2.23,8.34 -1.92,7.84 -1.62,8.23 -1.20,8.22 -1.47,7.71
-1.81 7.53 355.0 | -1.44,7.50 -1.49,7.36 -1.62,7.30 -1.73,7.28 -1.84,7.22 -1.94,7.28 -2.13,7.26 -2.42,7.34 -2.96,7.63 -2.55,7.92 -2.52,8.37 -1.90,7.80 -1.75,8.27 -1.47,8.19 -1.07,8.16 -1.47,7.64
-1.87 7.54 353.3 | -1.50,7.49 -1.50,7.33 -1.65,7.26 -1.80,7.27 -1.91,7.24 -2.01,7.29 -2.14,7.32 -2.28,7.42 -2.99,7.67 -2.60,7.94 -2.60,8.46 -2.12,8.40 -1.82,8.01 -1.50,8.20 -1.13,8.13 -1.41,7.67
-1.82 7.54 357.7 | -1.44,7.52 -1.47,7.37 -1.60,7.30 -1.73,7.29 -1.83,7.23 -1.95,7.26 -2.08,7.29 -2.42,7.32 -2.97,7.58 -2.56,7.88 -2.59,8.37 -2.12,8.34 -1.79,8.28 -1.50,8.22 -1.12,8.18 -1.47,7.66
-1.86 7.54 357.0 | -1.49,7.52 -1.49,7.36 -1.64,7.29 -1.76,7.25 -1.87,7.24 -1.98,7.28 -2.12,7.30 -2.42,7.34 -2.96,7.60 -2.61,7.90 -2.63,8.40 -2.16,8.38 -1.83,8.08 -1.54,8.20 -1.15,8.18 -1.45,7.68
-1.81 7.54 359.6 | -1.45,7.53 -1.47,7.39 -1.60,7.33 -1.71,7.28 -1.82,7.25 -1.93,7.25 -2.07,7.29 -2.43,7.29 -2.96,7.55 -2.58,7.86 -2.58,8.32 -2.13,8.32 -1.81,8.29 -1.52,8.23 -1.09,8.25 -1.49,7.67
-1.87 7.55 351.5 | -1.49,7.49 -1.51,7.33 -1.68,7.29 -1.80,7.25 -1.92,7.25 -2.01,7.31 -2.13,7.35 -2.28,7.44 -2.99,7.71 -2.57,7.97 -2.57,8.49 -2.09,8.42 -1.80,8.04 -1.47,8.21 -1.11,8.11 -1.41,7.66
-1.81 7.54 354.2 | -1.46,7.50 -1.48,7.36 -1.61,7.30 -1.73,7.28 -1.84,7.24 -1.94,7.29 -2.06,7.33 -2.26,7.41 -2.95,7.66 -2.54,7.93 -2.54,8.44 -2.06,8.37 -1.73,8.29 -1.45,8.19 -1.07,8.14 -1.47,7.64
-1.88 7.55 348.9 | -1.49,7.48 -1.52,7.31 -1.69,7.28 -1.82,7.26 -1.94,7.26 -2.03,7.33 -2.12,7.39 -2.29,7.47 -3.00,7.77 -2.81,8.17 -2.61,8.65 -2.06,8.46 -1.82,7.84 -1.45,8.21 -1.10,8.08 -1.41,7.65
-1.82 7.58 19.4 | -1.47,7.70 -1.51,7.56 -1.59,7.47 -1.64,7.38 -1.72,7.32 -1.83,7.27 -2.01,7.17 -2.70,6.78 -2.66,7.28 -3.02,7.64 -2.65,7.98 -2.19,8.00 -2.07,8.29 -1.76,8.54 -1.65,7.93 -1.55,7.81
-1.93 7.56 8.4 | -1.45,7.63 -1.48,7.45 -1.68,7.37 -1.77,7.29 -1.89,7.29 -2.00,7.28 -2.16,7.26 -2.72,7.09 -3.04,7.40 -2.52,7.71 -2.70,8.14 -2.34,8.25 -2.04,8.32 -1.73,8.36 -1.19,8.55 -1.58,7.77
