-957.85 10.92 186.7 0.29,0.39,0.50,0.44,0.40,0.47,0.69,1.29,0.33,0.21,0.28,1.06,1.58,0.64,0.36,0.31
-982.80 6.84 189.3 0.30,0.37,0.47,0.46,0.39,0.49,0.69,1.30,0.33,0.21,0.27,1.08,1.57,0.62,0.34,0.31
-1008.05 8.07 177.2 0.30,0.34,0.36,0.45,0.41,0.41,0.52,1.07,1.25,0.28,0.23,0.51,1.54,0.76,0.42,0.34
-1033.29 6.84 182.8 0.28,0.34,0.40,0.44,0.42,0.43,0.61,1.17,0.92,0.23,0.24,0.54,1.52,0.76,0.37,0.32
-1058.54 8.03 177.3 0.28,0.31,0.37,0.44,0.43,0.41,0.50,1.05,1.23,0.26,0.24,0.48,1.56,0.95,0.40,0.34
-1083.74 6.04 184.5 0.28,0.34,0.41,0.45,0.41,0.42,0.65,1.21,0.91,0.22,0.25,0.56,1.55,0.75,0.38,0.32
-1108.95 4.28 184.0 0.29,0.36,0.38,0.45,0.42,0.41,0.61,1.18,0.91,0.24,0.24,0.54,1.52,0.75,0.38,0.32
-1134.13 2.08 185.0 0.29,0.36,0.38,0.46,0.41,0.41,0.63,1.14,1.24,0.23,0.23,0.53,1.51,0.76,0.37,0.33
-1159.37 3.58 176.6 0.30,0.32,0.38,0.45,0.42,0.41,0.52,1.07,1.23,0.27,0.23,0.50,1.55,0.86,0.40,0.34
-1209.41 8.44 168.5 0.31,0.28,0.36,0.46,0.43,0.40,0.49,0.79,1.26,0.30,0.23,0.30,1.42,1.31,0.53,0.33
-1234.22 13.31 168.9 0.29,0.29,0.37,0.48,0.44,0.40,0.48,0.79,1.27,-0.35,0.23,0.30,1.42,1.31,0.54,0.35
-1259.46 11.94 183.1 0.29,-0.32,0.41,0.45,0.41,0.42,0.64,1.21,0.91,0.22,0.23,0.55,1.55,0.75,0.38,0.31
-1284.62 14.36 174.5 0.30,0.29,0.37,-0.27,0.46,0.39,0.48,0.82,1.25,0.29,0.22,0.31,1.42,1.29,0.52,0.35
-1309.87 15.60 177.2 0.29,0.33,0.37,0.44,0.42,0.41,0.57,1.09,1.23,0.24,0.24,0.51,1.54,0.85,0.39,0.33
-1334.89 19.16 171.9 0.29,0.27,0.36,0.46,0.44,0.39,0.48,0.84,1.23,0.29,-0.40,0.33,1.43,1.26,0.50,0.34
-1360.13 20.52 176.9 0.29,0.28,0.36,0.45,0.45,0.39,0.49,0.92,1.22,0.29,0.22,0.36,1.45,1.13,0.46,0.34
-1385.27 23.21 173.9 0.29,0.27,0.36,0.47,0.43,0.38,0.49,0.83,1.22,0.29,0.22,0.31,1.42,1.29,0.52,0.34
-1410.52 24.49 177.1 0.30,0.33,0.37,0.44,0.42,0.42,0.53,1.10,1.24,0.26,0.23,0.51,1.53,0.78,0.39,0.32
-1435.78 23.56 182.1 0.29,0.35,0.41,0.45,0.42,0.42,0.64,1.23,0.91,0.22,0.25,0.54,1.53,0.74,0.37,0.32
-1460.74 27.52 171.0 0.30,0.28,0.37,0.46,0.43,0.39,0.48,0.81,1.26,0.29,0.24,0.31,1.42,1.29,0.52,0.35
-1486.02 27.78 179.4 0.29,0.36,0.39,0.45,0.41,-0.29,0.64,1.21,0.91,0.23,0.24,0.55,1.55,0.74,0.38,0.33
-1511.27 26.50 182.9 0.28,0.35,0.41,0.45,0.41,0.42,0.65,1.22,0.91,0.21,0.26,0.55,1.55,0.75,0.37,0.32
-1536.48 28.31 175.9 0.29,0.33,0.36,0.43,0.42,0.41,0.54,1.10,1.25,0.26,0.23,0.52,1.52,0.76,0.40,0.33
-1561.49 32.00 171.6 0.29,0.28,0.37,0.46,0.44,0.39,0.48,0.80,1.25,0.29,0.22,0.30,1.41,1.29,0.53,0.33
