-0.91 0.07 57.9 1.28,1.16,0.23,0.79,0.64,0.51,0.61,0.63,0.51,0.39,1.47,0.68,0.44,0.47,0.48,0.64
-0.91 0.07 0.0 0.86,0.46,0.34,0.37,0.29,0.45,0.70,0.67,0.73,0.92,0.20,0.18,0.25,0.33,0.96,0.83
BLOB -0.91 0.07 348.7 0.34,0.33,0.45,0.48,0.37,0.34,0.40,0.61,1.21,1.17,0.40,0.23,1.68,-1.00,0.73,0.41
-1.05 -0.05 284.1 0.62,1.05,1.27,0.78,0.79,0.63,0.51,0.48,0.65,0.90,0.76,0.18,0.20,0.47,0.51,0.54
-1.35 -0.56 40.3 0.96,1.11,0.47,0.60,0.43,0.40,0.35,0.36,0.56,0.94,0.98,0.50,0.23,0.19,0.18,0.77
-1.35 -0.56 157.0 1.09,1.06,0.34,0.25,0.16,1.12,1.04,0.62,0.47,0.47,0.43,0.58,-0.29,-0.32,0.39,0.57
-1.35 -0.56 262.4 2.02,0.78,0.40,0.24,0.25,1.28,0.73,0.52,0.48,0.55,0.52,0.38,0.27,-1.00,0.44,1.17
-1.90 -1.24 130.0 0.44,0.44,0.35,0.38,0.58,0.47,-0.24,1.63,0.84,0.63,0.60,0.70,0.13,0.26,1.00,1.08
-2.63 -0.39 167.6 1.40,0.58,0.37,0.61,0.68,0.69,0.41,0.68,0.66,0.70,0.58,0.38,0.34,0.34,0.35,0.63
-3.88 0.01 98.9 0.75,0.67,0.46,0.37,0.42,0.46,0.58,0.47,0.47,0.58,1.36,1.57,0.40,0.45,0.69,0.73
-3.77 0.68 262.3 0.54,0.83,0.69,0.82,0.39,0.46,0.42,0.48,0.63,0.51,0.46,0.50,0.45,0.36,0.32,0.34
BLOB -3.63 0.56 83.8 0.82,0.81,0.71,0.49,0.47,0.50,0.50,0.50,0.38,0.39,0.49,1.28,1.51,0.19,0.42,0.63
-3.62 0.60 93.5 0.80,0.77,0.81,0.50,0.41,0.43,0.46,0.64,0.49,0.44,0.53,0.76,1.64,0.37,0.41,0.57
-3.79 1.25 283.2 0.71,0.67,0.77,0.45,0.46,0.48,0.59,0.63,0.56,0.57,0.46,0.33,0.29,0.30,0.42,0.54
-3.79 1.25 353.9 1.22,1.57,0.48,0.21,0.18,0.90,0.98,0.64,0.51,0.52,0.45,0.43,0.27,0.30,0.32,0.41
-2.73 0.64 269.8 0.32,0.33,0.39,0.28,0.32,0.30,0.91,0.71,0.62,0.71,0.91,0.25,0.19,0.26,0.29,0.37
-2.72 0.56 292.3 1.20,0.70,0.54,0.46,0.48,0.52,0.43,0.33,0.36,0.43,0.71,1.61,0.54,0.70,0.76,0.16
-2.73 0.57 63.0 0.36,0.40,1.08,1.04,0.30,0.26,0.23,0.75,0.87,0.67,0.98,0.96,0.52,0.30,0.29,0.27
-2.28 0.51 350.6 0.52,0.55,0.59,0.44,0.36,0.41,0.40,0.78,1.55,0.61,0.53,0.73,0.64,0.16,0.77,0.58
-1.83 -0.44 324.1 0.74,0.64,0.65,0.78,0.18,-1.00,1.08,0.48,0.47,0.35,0.34,0.49,0.51,0.45,0.40,2.06
