15.6,0.14,0.11,191.1,0.34,0.33,0.49,0.43,0.38,0.52,0.82,1.18,0.20,0.20,0.23,0.57,0.64,0.73,1.14,0.31,0,0
15.8,0.14,0.11,192.8,0.33,0.34,0.52,0.45,0.38,0.49,0.80,1.19,0.37,0.20,0.24,0.57,0.62,0.72,1.04,0.32,0,0
15.9,0.14,0.11,182.9,0.29,0.35,0.45,0.47,0.37,0.44,0.57,1.13,0.42,0.19,0.20,0.45,0.55,0.68,0.81,1.42,0,0
16.1,0.14,0.11,186.2,0.28,0.35,0.47,0.47,0.37,0.45,0.60,1.26,0.40,0.20,0.20,0.51,0.56,0.67,0.96,1.39,0,0
16.3,0.14,0.11,193.7,0.36,0.34,0.48,0.42,0.41,0.56,0.88,1.19,0.18,0.22,0.23,0.54,0.66,0.80,1.27,0.29,0,0
16.4,0.14,0.11,192.0,0.35,0.32,0.49,0.42,0.40,0.52,0.82,1.18,0.21,0.23,0.23,0.58,0.65,0.72,1.07,0.29,0,0
16.6,0.14,0.11,181.7,-1.00,0.35,0.49,0.47,0.39,0.46,0.57,1.26,0.39,0.19,0.22,0.51,0.55,0.68,0.95,1.41,0,0
16.7,0.14,0.11,189.3,0.32,0.33,0.49,0.46,0.39,0.47,0.75,1.20,0.39,0.20,0.24,0.59,0.59,0.69,0.99,1.41,0,0
16.9,0.14,0.11,196.9,0.34,0.35,0.46,0.42,0.41,0.54,0.87,1.21,0.19,0.21,0.24,0.54,0.66,0.80,1.27,0.29,0,0
17.0,0.14,0.11,194.9,0.35,0.34,0.49,0.42,0.40,0.52,0.84,1.18,0.21,0.20,0.21,0.57,0.64,0.72,1.15,0.30,0,0
17.2,0.14,0.11,184.3,0.30,0.35,0.49,0.47,0.38,0.45,0.59,1.25,0.38,0.19,0.21,0.51,0.55,0.69,0.96,1.40,0,0
17.3,0.14,0.11,191.5,0.31,0.33,0.51,0.45,0.38,0.47,0.75,1.21,0.39,0.21,0.22,0.58,0.59,0.69,0.98,1.41,0,0
