-0.87 -0.52 47.0 | -0.69,-0.33 -0.75,-0.47 -0.76,-0.52 -0.77,-0.56 -0.76,-0.62 -0.82,-0.62 -0.86,-0.61 -0.90,-0.61 -0.98,-0.64 -1.17,-0.66 -1.25,-0.53 -1.20,-0.40 -1.28,-0.14 -1.87,1.68 -0.92,0.87 -0.75,-0.21
-0.88 -0.54 47.0 | -0.72,-0.36 -0.76,-0.49 -0.77,-0.54 -0.77,-0.58 -0.76,-0.66 -0.85,-0.63 -0.88,-0.64 -0.92,-0.63 -1.00,-0.67 -1.18,-0.68 -1.28,-0.55 -1.23,-0.41 -1.30,-0.16 -1.89,1.67 -0.93,0.84
-0.90 -0.56 49.9 | -0.74,-0.37 -0.78,-0.50 -0.79,-0.55 -0.78,-0.60 -0.77,-0.67 -0.85,-0.66 -0.90,-0.64 -0.93,-0.65 -1.01,-0.69 -1.20,-0.72 -1.30,-0.60 -1.25,-0.45 -1.33,-0.20 -2.04,1.63 -1.02,0.82 -0.80,-0.24
-0.92 -0.58 51.3 | -0.75,-0.37 -0.81,-0.52 -0.81,-0.57 -0.80,-0.62 -0.78,-0.69 -0.87,-0.68 -0.91,-0.67 -0.95,-0.68 -1.03,-0.72 -1.21,-0.74 -1.32,-0.63 -1.26,-0.48 -1.37,-0.22 -2.11,1.58 -1.07,0.80 -0.83,-0.27
-0.94 -0.60 51.9 | -0.79,-0.41 -0.81,-0.53 -0.84,-0.59 -0.82,-0.63 -0.82,-0.70 -0.88,-0.70 -0.93,-0.70 -0.96,-0.70 -1.06,-0.76 -1.23,-0.77 -1.33,-0.65 -1.29,-0.50 -1.39,-0.25 -2.17,1.59 -1.10,0.77 -0.85,-0.29
-0.95 -0.62 46.5 | -0.79,-0.45 -0.83,-0.57 -0.85,-0.62 -0.85,-0.66 -0.86,-0.72 -0.92,-0.71 -0.95,-0.70 -0.99,-0.72 -1.09,-0.77 -1.36,-0.63 -1.28,-0.50 -1.39,-0.21 -2.00,1.73 -0.99,0.62 -0.84,-0.32
-0.97 -0.64 51.1 | -0.82,-0.45 -0.86,-0.58 -0.86,-0.63 -0.85,-0.68 -0.85,-0.74 -0.92,-0.74 -0.96,-0.73 -1.00,-0.74 -1.09,-0.79 -1.29,-0.81 -1.37,-0.69 -1.33,-0.54 -1.93,0.13 -2.20,1.61 -1.10,0.58 -0.88,-0.34
-0.99 -0.66 48.3 | -0.83,-0.48 -0.88,-0.61 -0.89,-0.66 -0.88,-0.70 -0.88,-0.76 -0.94,-0.76 -0.98,-0.75 -1.02,-0.76 -1.12,-0.80 -1.31,-0.82 -1.38,-0.69 -1.34,-0.54 -1.90,0.15 -2.10,1.63 -1.06,0.53 -0.88,-0.35
-1.01 -0.68 54.9 | -0.87,-0.49 -0.89,-0.61 -0.90,-0.66 -0.89,-0.71 -0.88,-0.77 -0.95,-0.77 -0.99,-0.77 -1.03,-0.79 -1.13,-0.85 -1.31,-0.88 -1.39,-0.75 -1.36,-0.60 -2.00,0.01 -2.36,1.45 -1.21,0.49 -0.94,-0.37
-1.02 -0.70 55.8 | -0.89,-0.50 -0.91,-0.63 -0.93,-0.69 -0.91,-0.73 -0.90,-0.79 -0.96,-0.81 -1.01,-0.79 -1.05,-0.80 -1.14,-0.88 -1.32,-0.90 -1.38,-0.63 -2.02,-0.03 -2.40,1.39 -1.25,0.46 -0.96,-0.39
-1.04 -0.73 52.7 | -0.90,-0.54 -0.91,-0.65 -0.94,-0.71 -0.94,-0.75 -0.99,-0.81 -1.03,-0.82 -1.07,-0.82 -1.17,-0.89 -1.35,-0.91 -1.46,-0.78 -1.38,-0.64 -2.00,0.00 -2.30,1.43 -1.20,0.44 -0.96,-0.42
-1.05 -0.75 52.6 | -0.91,-0.56 -0.94,-0.68 -0.95,-0.73 -0.93,-0.78 -0.93,-0.85 -1.00,-0.84 -1.04,-0.83 -1.09,-0.87 -1.19,-0.92 -1.38,-0.94 -1.46,-0.80 -1.40,-0.66 -2.02,-0.01 -2.31,1.42 -1.21,0.41 -0.97,-0.44
-1.07 -0.77 52.6 | -0.93,-0.59 -0.96,-0.71 -0.96,-0.76 -0.94,-0.80 -0.96,-0.86 -1.02,-0.85 -1.06,-0.86 -1.10,-0.87 -1.21,-0.95 -1.40,-0.96 -1.48,-0.82 -1.43,-0.68 -2.04,-0.03 -1.81,0.50 -1.22,0.37 -0.99,-0.47
-1.09 -0.79 50.1 | -0.94,-0.62 -0.96,-0.72 -0.97,-0.78 -0.96,-0.83 -0.99,-0.87 -1.04,-0.88 -1.08,-0.89 -1.12,-0.89 -1.23,-0.96 -1.40,-0.96 -1.50,-0.83 -1.44,-0.68 -2.01,-0.02 -1.77,0.51 -1.19,0.36 -0.99,-0.49
-1.10 -0.81 50.4 | -0.96,-0.64 -0.99,-0.75 -0.99,-0.80 -0.99,-0.85 -1.00,-0.90 -1.06,-0.90 -1.09,-0.90 -1.14,-0.92 -1.25,-1.00 -1.43,-0.99 -1.53,-0.85 -1.46,-0.70 -2.04,-0.04 -1.79,0.48 -1.21,0.32 -1.01,-0.51
-1.12 -0.84 55.5 | -1.00,-0.66 -1.00,-0.76 -1.01,-0.81 -0.99,-0.86 -0.99,-0.92 -1.07,-0.91 -1.10,-0.92 -1.14,-0.94 -1.25,-1.02 -1.43,-1.04 -1.54,-0.91 -1.50,-0.75 -2.12,-0.15 -1.91,0.38 -1.32,0.27 -1.06,-0.55
-1.13 -0.86 55.5 | -1.01,-0.68 -1.03,-0.79 -1.03,-0.84 -1.02,-0.88 -1.03,-0.93 -1.08,-0.94 -1.12,-0.94 -1.16,-0.98 -1.27,-1.06 -1.46,-1.07 -1.54,-0.93 -1.53,-0.77 -2.14,-0.17 -1.93,0.37 -1.25,-0.24 -1.07,-0.55
