-2.12 0.00 1.56,-0.45,0.16,0.54,0.55,0.74,1.33,0.41,0.37,0.52,0.47,0.51,0.50,0.59,1.09,1.14
-2.15 -0.01 1.58,0.10,0.12,0.52,0.55,0.70,1.33,0.39,0.37,0.53,0.48,0.51,0.50,0.57,1.09,1.14
-2.18 -0.02 1.68,0.09,0.14,0.34,0.56,0.68,1.25,0.41,0.37,0.52,0.47,0.50,0.50,0.58,1.05,1.15
-2.21 -0.03 1.53,0.09,0.15,0.54,0.56,0.73,1.34,0.40,0.36,0.51,0.47,0.52,0.50,0.61,1.11,1.13
-2.24 -0.04 1.65,0.09,0.14,0.34,0.55,0.69,1.30,0.39,0.37,0.50,0.48,0.53,0.49,0.58,1.08,1.14
-2.27 -0.05 1.56,0.10,0.13,0.53,0.55,0.70,1.33,0.40,0.36,0.53,0.47,0.49,0.51,0.59,1.08,1.13
-2.30 -0.06 1.65,0.10,0.15,0.34,0.56,0.69,1.26,0.39,0.35,0.52,0.45,0.51,0.50,0.58,1.08,1.17
-2.33 -0.08 1.52,0.09,0.14,0.53,0.55,0.74,1.35,0.38,0.38,0.53,0.48,0.50,0.51,0.60,1.11,1.13
-2.36 -0.09 1.56,0.10,0.15,0.54,0.54,0.72,1.32,0.40,0.36,0.52,0.47,-0.24,0.50,0.60,0.05,1.14
-2.38 -0.10 1.58,0.10,0.14,0.53,0.56,0.71,1.31,0.41,0.38,0.52,0.48,0.51,0.50,0.57,1.08,1.15
-2.41 -0.11 1.63,0.11,0.12,0.34,0.56,0.68,1.30,0.40,0.37,0.52,0.47,0.51,0.50,0.59,1.08,1.16
-2.44 -0.12 1.59,0.07,0.15,0.55,0.56,0.71,1.31,0.41,0.36,0.52,0.48,0.53,0.48,0.57,1.07,1.16
-2.47 -0.13 1.64,0.10,0.13,0.33,0.54,0.69,1.30,0.40,0.36,0.51,0.46,0.52,0.48,0.59,1.07,1.15
-2.50 -0.14 1.58,0.10,0.14,0.54,0.57,0.71,1.31,0.39,0.36,0.51,0.46,0.52,0.49,0.58,1.09,1.12
-2.53 -0.15 1.55,0.08,0.15,0.52,0.55,0.75,1.33,0.41,0.37,0.52,0.48,0.53,0.52,0.60,1.08,1.13
-2.56 -0.16 1.61,0.10,0.13,0.35,0.56,0.69,1.32,0.41,0.35,0.51,0.47,0.52,0.49,0.59,1.07,1.16
-0.01 0.03 0.44,0.51,0.82,1.32,1.85,0.30,0.46,0.67,0.64,0.76,0.26,0.17,0.20,0.31,0.40,0.34
-0.02 0.07 0.33,0.43,0.51,0.89,1.35,1.74,0.35,0.69,0.66,0.68,0.99,0.23,0.17,0.28,0.31,0.31
-0.02 0.11 0.28,0.33,0.39,0.59,1.18,1.33,1.33,0.49,0.72,0.64,0.80,0.27,0.18,0.21,0.29,0.30
0.00 0.15 0.25,0.25,0.27,0.25,0.36,0.45,0.82,1.35,1.81,0.35,0.74,0.69,0.78,0.29,0.16,0.18
0.03 0.17 0.24,0.30,0.22,0.26,0.39,0.62,1.36,1.00,1.18,0.56,0.77,0.74,0.30,0.15,0.17,0.22
0.07 0.19 0.21,0.22,0.23,0.24,0.36,0.47,1.21,1.40,1.38,0.56,0.78,0.72,0.31,0.12,0.15,0.20
0.10 0.19 0.14,0.18,0.17,0.26,0.21,0.27,0.43,0.70,1.44,1.72,0.59,0.78,0.71,0.27,0.09,0.11
0.14 0.20 0.15,0.17,0.20,0.22,0.20,0.41,0.68,1.41,1.94,0.46,0.79,0.70,0.79,0.09,0.10,0.10
0.18 0.20 0.11,0.16,0.16,-1.00,0.23,0.22,0.37,0.49,1.33,1.11,0.46,0.62,0.77,0.75,0.11,0.10
0.22 0.20 0.14,0.15,0.15,0.26,0.20,0.26,0.45,0.89,1.46,1.55,0.62,0.79,0.74,0.11,0.09,0.12
0.25 0.20 0.09,0.12,0.14,0.17,-0.37,-0.40,0.26,0.45,0.91,1.43,1.49,0.62,0.78,0.74,0.11,0.10
0.29 0.19 0.12,0.14,0.15,0.19,0.23,0.23,0.42,0.69,1.40,2.00,0.48,0.82,0.70,0.79,0.10,0.09
0.33 0.20 0.10,0.13,0.15,0.16,0.21,0.23,0.23,0.42,0.69,1.43,1.93,0.48,0.79,-1.00,0.28,0.09
0.36 0.19 0.12,0.14,0.16,0.18,0.22,0.22,0.37,0.52,1.44,1.08,0.46,0.63,0.73,0.77,0.09,0.10
0.41 0.19 0.13,0.16,0.16,0.24,0.21,0.28,0.46,0.96,1.45,1.42,-0.20,0.79,0.73,0.11,0.09,0.10
0.44 0.18 0.11,0.14,0.15,0.17,0.23,0.22,0.32,0.48,1.22,1.43,1.39,0.62,0.80,0.75,0.09,0.09
0.48 0.18 0.13,0.16,0.15,0.24,0.22,0.25,0.44,0.69,1.44,1.87,0.59,0.78,0.70,0.28,0.08,0.10
0.51 0.17 0.08,0.12,0.17,0.17,0.27,0.21,0.27,0.44,0.70,1.42,1.73,0.60,0.79,0.70,0.27,0.09
0.55 0.16 0.12,0.17,0.17,0.18,-1.00,0.23,0.39,0.65,1.40,1.93,0.45,0.78,0.72,0.76,0.13,0.10
0.58 0.17 0.15,0.19,0.23,0.21,0.37,0.51,1.43,1.07,0.45,0.63,0.74,0.77,0.11,0.09,0.12,0.16
0.62 0.19 0.14,0.13,0.16,0.21,0.22,0.41,0.69,1.42,2.03,0.50,0.82,0.71,0.11,0.09,0.09,-0.44
0.65 0.20 0.08,0.11,0.13,0.15,0.17,0.21,0.20,0.40,0.69,1.42,2.04,0.48,0.83,0.73,0.10,0.09
0.69 0.19 0.12,0.11,0.14,0.15,0.23,0.20,0.31,0.48,1.36,-1.00,0.47,0.66,0.74,0.15,0.10,0.08
0.73 0.19 0.12,0.13,0.12,0.21,0.20,0.23,0.44,0.72,1.47,1.60,0.61,0.81,0.77,0.08,0.10,0.11
0.77 0.18 0.10,0.14,0.15,0.15,0.22,0.20,0.24,0.45,0.93,1.45,1.46,0.64,0.80,0.75,0.09,0.10
0.80 0.17 0.12,0.15,0.13,0.18,0.19,0.20,0.41,0.68,1.42,2.01,0.52,0.82,0.72,0.11,0.10,0.10
